Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
SNORA16A	ENHA_RELA;SIRT6	0.434929600267047	0.0031377669675748	False	((1.1333333333333335, 0.3666666666666667), array([-0.96523602, -0.30350076]))	False
SNORA16A	PROM_ELF5;SIRT6	0.740171192158216	0.456820095788027	False	((-1.1, -0.15714285714285703), array([-0.96523602, -0.30350076]))	False
SNORA16A	ENHA_KLF10;KDM5B	0.176276005440641	2.0018553505690498e-36	False	((1.1, -0.6285714285714287), array([-0.30181281, -0.74696821]))	False
SNORA16A	ENHA_RELA;SUZ12	0.413201296729642	6.29274385659813e-06	False	((1.1333333333333335, 0.3666666666666667), array([-0.40845783,  0.78125285]))	False
SNORA16A	ENHA_PRDM4;SMAD3	0.571590353451957	3.79377259350937e-07	False	((1.1, 0.3142857142857143), array([-0.71164011,  0.34051664]))	False
SNORA16A	ENHA_CEBPD;SMAD3	0.654433928792895	0.0008742480739494	False	((1.1666666666666667, -0.9952380952380954), array([-0.71164011,  0.34051664]))	False
SNORA16A	ENHA_KLF5;SMAD3	0.349737067458233	1.26706277169216e-25	False	((1.1666666666666667, -0.3666666666666667), array([-0.71164011,  0.34051664]))	False
SNORA16A	ENHA_SP1;SMAD3	0.218064393084949	1.09443280085413e-48	False	((1.1666666666666667, 0.5761904761904761), array([-0.71164011,  0.34051664]))	False
SNORA16A	ENHA_RELA;SMAD3	0.651634445085309	0.0007191481310863	False	((1.1333333333333335, 0.3666666666666667), array([-0.71164011,  0.34051664]))	False
SNORA16A	ENHA_TP53;SMAD3	0.431810287641224	2.8293004148337402e-14	False	((1.1, 0.9428571428571426), array([-0.71164011,  0.34051664]))	False
SNORA16A	KDM5B;PROM_CTCF	0.201104367734694	1.56073913062857e-18	False	(array([-0.30181281, -0.74696821]), (-1.1, -1.1))	False
SNORA16A	PROM_CTCF;SUZ12	0.24788904240914	4.4340864036458304e-15	False	((-1.1, -1.1), array([-0.40845783,  0.78125285]))	False
SNORA16A	PROM_CTCF;SMAD3	0.285688322808821	1.5344883780308402e-17	False	((-1.1, -1.1), array([-0.71164011,  0.34051664]))	False
SNORA16A	ENHA_IRF1;YBX1	0.460423644514739	2.14416473252641e-11	False	((1.1666666666666667, -0.680952380952381), array([-0.69591185,  0.7070055 ]))	False
SNORA16A	ENHA_TP53;YBX1	0.791758229858575	0.109647060046529	False	((1.1, 0.9428571428571426), array([-0.69591185,  0.7070055 ]))	False
SNORA16A	PROM_CTCF;YBX1	0.299719457170765	6.58307711377803e-15	False	((-1.1, -1.1), array([-0.69591185,  0.7070055 ]))	False
SNORA16A	ENHA_TEAD1;YAP1	0.142167212492971	1.6632937724160401e-44	False	((1.1666666666666667, 0.8904761904761904), array([ 0.93128947, -0.31315963]))	False
SNORA16A	ENHA_EGR1;YAP1	0.238821706809029	7.13107386795607e-28	False	((1.1, -0.942857142857143), array([ 0.93128947, -0.31315963]))	False
SNORA16A	ENHA_MEF2D;NFATC2	0.180120486796205	1.78428378296483e-49	False	((1.1333333333333335, -0.10476190476190483), array([-0.9218183 ,  0.33944007]))	False
SNORA16A	ENHA_EGR1;NFATC2	0.298827323256746	1.5490783526008698e-22	False	((1.1, -0.942857142857143), array([-0.9218183 ,  0.33944007]))	False
SNORA16A	ENHA_TEAD1;JUND	0.284290648756091	4.00061871491358e-24	False	((1.1666666666666667, 0.8904761904761904), array([0.63457822, 0.36438314]))	False
SNORA16A	ENHA_MEF2A;JUND	0.220754619792153	2.90440417581243e-47	False	((1.1666666666666667, -0.20952380952380956), array([0.63457822, 0.36438314]))	False
SNORA16A	ENHA_EGR1;JUND	0.27883792515278	5.87029506451867e-29	False	((1.1, -0.942857142857143), array([0.63457822, 0.36438314]))	False
SNORA16A	ARID2;ENHA_NFYC	0.146921574839466	7.23348369571185e-17	False	(array([-0.75616986, -0.35811477]), (1.1, 0.15714285714285703))	False
SNORA16A	ARID2;ENHA_EGR1	0.569000863630188	0.0096821997759041	False	(array([-0.75616986, -0.35811477]), (1.1, -0.942857142857143))	False
SNORA16A	ENHA_NFYC;SREBF2	0.26918169283772	6.727152073490819e-11	False	((1.1, 0.15714285714285703), array([-0.24013916, -0.94867379]))	False
SNORA16A	ENHA_NFYA;SREBF2	0.141974560977619	5.2258250774882e-30	False	((1.1333333333333335, 0.05238095238095242), array([-0.24013916, -0.94867379]))	False
SNORA16A	ENHA_EGR1;SREBF2	0.245508492330346	9.46635798359887e-28	False	((1.1, -0.942857142857143), array([-0.24013916, -0.94867379]))	False
SNORA16A	ENHA_EGR1;JUNB	0.376691471521549	5.98069403759214e-12	False	((1.1, -0.942857142857143), array([-0.35806921, -0.8800377 ]))	False
SNORA16A	ENHA_ATF4;JUNB	0.169721984706835	1.25962945980401e-23	False	((1.1, -1.1), array([-0.35806921, -0.8800377 ]))	False
SNORA16A	ENHA_IRF1;MDM2	0.4165797096219	1.08397691338368e-17	False	((1.1666666666666667, -0.680952380952381), array([ 0.16955646, -0.9492333 ]))	False
SNORA16A	ENHA_EGR1;MDM2	0.327075251221232	1.5171056943962e-28	False	((1.1, -0.942857142857143), array([ 0.16955646, -0.9492333 ]))	False
SNORA16A	ENHA_ATF4;MDM2	0.470048355051063	1.08454519877387e-09	False	((1.1, -1.1), array([ 0.16955646, -0.9492333 ]))	False
SNORA16A	CREBBP;ENHA_GLI3	0.558657614102069	9.7132772258982e-09	False	(array([-0.1072099 , -0.34067881]), (1.1, -0.7857142857142858))	False
SNORA16A	CREBBP;ENHA_TCF3	0.43988254181853	1.21786244587098e-16	False	(array([-0.1072099 , -0.34067881]), (1.1, 0.7857142857142856))	False
SNORA16A	CREBBP;ENHA_IRF1	0.631300396327803	1.39893978544209e-05	False	(array([-0.1072099 , -0.34067881]), (1.1666666666666667, -0.680952380952381))	False
SNORA16A	CREBBP;ENHA_KLF5	0.462730065149838	6.65818197049526e-15	False	(array([-0.1072099 , -0.34067881]), (1.1666666666666667, -0.3666666666666667))	False
SNORA16A	CREBBP;ENHA_EGR1	0.42537428462385	7.404257317679201e-18	False	(array([-0.1072099 , -0.34067881]), (1.1, -0.942857142857143))	False
SNORA16A	CREBBP;ENHA_ATF4	0.610230214096301	2.99051338811072e-05	False	(array([-0.1072099 , -0.34067881]), (1.1, -1.1))	False
SNORA16A	CREBBP;ENHA_KLF4	0.382243523106936	6.46181269954222e-22	False	(array([-0.1072099 , -0.34067881]), (1.1333333333333335, -0.4190476190476191))	False
SNORA16A	ENHA_IRF1;HCFC1	0.296815874127575	1.22796622237627e-33	False	((1.1666666666666667, -0.680952380952381), array([ 0.8224492 , -0.29859276]))	False
SNORA16A	ENHA_HIC2;FOXJ2	0.302365099602635	5.301202471758541e-25	False	((1.1333333333333335, -0.7333333333333334), array([ 0.72615808, -0.72039512]))	False
SNORA16A	ENHA_POU2F2;FOXJ2	0.541582163599208	1.26236069619227e-07	False	((1.1333333333333335, 0.20952380952380945), array([ 0.72615808, -0.72039512]))	False
SNORA16A	ENHA_NFYC;FOXJ2	0.506616076863555	2.08346091763215e-05	False	((1.1, 0.15714285714285703), array([ 0.72615808, -0.72039512]))	False
SNORA16A	ENHA_ZNF148;FOXJ2	0.237758380725282	2.07353023421929e-41	False	((1.1666666666666667, 1.0476190476190474), array([ 0.72615808, -0.72039512]))	False
SNORA16A	ENHA_SP3;PROM_GABPA	0.505935737261999	0.0009937026925832	False	((1.1333333333333335, 0.680952380952381), (-1.1, 0.3142857142857145))	False
SNORA16A	ENHA_SP1;PROM_GABPA	0.730516972467259	0.0789041272172051	False	((1.1666666666666667, 0.5761904761904761), (-1.1, 0.3142857142857145))	False
SNORA16A	HCFC1;PROM_GABPA	0.498885947328209	1.3691089659913e-07	False	(array([ 0.8224492 , -0.29859276]), (-1.1, 0.3142857142857145))	False
