Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
SNRPA	ENHA_MYC;SF3B1	0.484428952108207	0.0012344706139122	False	((1.1, 0.3142857142857145), array([-0.96583047, -0.29926764]))	False
SNRPA	PROM_ZBTB33;SF3B1	0.347900467207404	5.48965286891862e-08	False	((-1.1, 0.930769230769231), array([-0.96583047, -0.29926764]))	False
SNRPA	ENHA_MYC;PCBP1	0.403108747817518	0.0011309917707757	False	((1.1, 0.3142857142857145), array([-0.80893957, -0.49499416]))	False
SNRPA	PCBP1;PROM_THAP11	0.480000748845713	0.0031761116195764	False	(array([-0.80893957, -0.49499416]), (-1.1666666666666667, 0.7051282051282053))	False
SNRPA	ENHA_NR3C1;MED1	0.749666422647616	0.0166133956543092	False	((1.1, 0.5500000000000003), array([-0.54567155,  0.82493264]))	False
SNRPA	ENHA_MYC;MED1	0.692393687639852	0.0086532944125767	False	((1.1, 0.3142857142857145), array([-0.54567155,  0.82493264]))	False
SNRPA	MED1;PROM_GABPA	1.14289338108609	0.185406150827642	False	(array([-0.54567155,  0.82493264]), (-1.1, -0.42307692307692313))	False
SNRPA	ENHA_RBPJ;MED23	0.66874827211267	0.0036053067530167	False	((1.1666666666666667, 0.7071428571428573), array([-0.77448435, -0.61634892]))	False
SNRPA	EEF1D;ENHA_MAX	0.852369703570997	0.239432679696648	False	(array([0.46876519, 0.90291401]), (1.1666666666666667, -0.23571428571428565))	False
SNRPA	MED23;PROM_ELF3	0.859603281621958	0.231191576410926	False	(array([-0.77448435, -0.61634892]), (-1.1, -0.5923076923076923))	False
SNRPA	EEF1D;PROM_ELF3	1.01281260650261	0.897248975706207	False	(array([0.46876519, 0.90291401]), (-1.1, -0.5923076923076923))	False
SNRPA	ENHA_IRF1;STAT1	0.709407797929445	0.0001654544615985	False	((1.1, -0.6285714285714286), array([-0.76892553,  0.60900674]))	False
SNRPA	ENHA_E2F6;RING1	0.352005247890223	4.5237734548277104e-23	False	((1.1666666666666667, -0.942857142857143), array([ 0.9356372 , -0.28722033]))	False
SNRPA	ENHA_RBPJ;PHF8	0.402367679227702	7.13770533383398e-13	False	((1.1666666666666667, 0.7071428571428573), array([ 0.48610426, -0.72261453]))	False
SNRPA	PHF8;PROM_THAP11	0.856313326591367	0.413940235385525	False	(array([ 0.48610426, -0.72261453]), (-1.1666666666666667, 0.7051282051282053))	False
SNRPA	ENHA_MEF2D;SKP2	0.628901786489439	6.24349984405148e-07	False	((1.1666666666666667, 0.0), array([-0.89890519,  0.45909662]))	False
SNRPA	ENHA_MYC;SKP2	0.442496830279112	4.8268770748554106e-09	False	((1.1, 0.3142857142857145), array([-0.89890519,  0.45909662]))	False
SNRPA	PROM_GABPA;SKP2	0.954097506415925	0.675878851257132	False	((-1.1, -0.42307692307692313), array([-0.89890519,  0.45909662]))	False
SNRPA	BRCA1;ENHA_MYC	0.569981615778189	1.63451849349327e-05	False	(array([0.93452063, 0.40444848]), (1.1, 0.3142857142857145))	False
