Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
SNUPN	ENHA_MEF2D;MAPK14	0.466086845728593	1.1009581165126101e-20	False	((1.1666666666666667, -0.3193548387096775), array([-0.94302763, -0.37036409]))	False
SNUPN	ENHA_ZBTB18;PAK1	0.529169659624163	0.0002390218639722	False	((1.1666666666666667, 0.9580645161290322), array([-0.43313559, -0.82440442]))	False
SNUPN	ENHA_SREBF1;MAPK3	0.371075792418115	7.10851065954444e-21	False	((1.1333333333333335, 0.46129032258064506), array([-0.58829401,  0.14459924]))	False
SNUPN	DDB1;ENHA_MEF2A	0.637457612238505	0.0007311675701118	False	(array([-0.56729035,  0.81953553]), (1.1333333333333335, -0.39032258064516134))	False
SNUPN	ACTN4;ENHA_MEF2A	0.567202114866858	3.9312263660257e-06	False	(array([-0.85768939,  0.01317751]), (1.1333333333333335, -0.39032258064516134))	False
SNUPN	ENHA_SREBF1;PLK1	0.374069966714861	5.675250943146951e-19	False	((1.1333333333333335, 0.46129032258064506), array([-0.64935185, -0.75464746]))	False
SNUPN	ENHA_ZNF148;SIAH1	0.382905739518752	8.208642968288659e-30	False	((1.1333333333333335, 1.1), array([-0.45438479,  0.75035112]))	False
SNUPN	ENHA_MEF2A;HDAC4	0.579372535149011	7.37194472090792e-08	False	((1.1333333333333335, -0.39032258064516134), array([0.35517938, 0.23914067]))	False
SNUPN	ENHA_MEF2D;HDAC4	0.432247276134863	1.47192638988546e-13	False	((1.1666666666666667, -0.3193548387096775), array([0.35517938, 0.23914067]))	False
SNUPN	ENHA_NR2C1;HDAC4	0.421254427481534	1.51561053044536e-07	False	((1.1333333333333335, 0.03548387096774186), array([0.35517938, 0.23914067]))	False
SNUPN	ENHA_MEF2A;HDAC7	0.651351343988873	0.0018471694239653	False	((1.1333333333333335, -0.39032258064516134), array([-0.69995647,  0.71933739]))	False
SNUPN	ENHA_MEF2A;HDAC9	0.813693661833431	0.64163446536906	False	((1.1333333333333335, -0.39032258064516134), array([-0.95002247, -0.2097898 ]))	False
SNUPN	ATF7;ENHA_MEF2A	0.36331846561451	1.36043737585682e-09	False	(array([ 0.95946527, -0.23033634]), (1.1333333333333335, -0.39032258064516134))	False
SNUPN	ATF7;ENHA_FOSL2	0.269032086523601	1.05418633974453e-07	False	(array([ 0.95946527, -0.23033634]), (1.1666666666666667, -0.9580645161290323))	False
SNUPN	ENHA_ESRRA;HIF1A	0.385970773183396	1.2516327455738701e-25	False	((1.1333333333333335, -1.0290322580645161), array([-0.94035322,  0.39037839]))	False
SNUPN	ENHA_THAP11;PSMC5	0.409078527594922	3.76127989131459e-25	False	((1.1333333333333335, 0.8870967741935483), array([-0.3017068 ,  0.89771705]))	False
SNUPN	ENHA_NFYB;MYC	0.446984880753005	1.35890872962123e-15	False	((1.1, -0.03548387096774208), array([ 0.86561851, -0.48308624]))	False
SNUPN	ENHA_NFYB;NFYC	0.457000354062794	2.66875425286446e-13	False	((1.1, -0.03548387096774208), array([-0.20522266, -0.95461134]))	False
SNUPN	ENHA_MEF2D;SKP2	0.531789105108776	8.85537309152621e-14	False	((1.1666666666666667, -0.3193548387096775), array([-0.97258537,  0.26109266]))	False
SNUPN	CDK6;ENHA_MEF2D	0.530124323620185	3.52784296009486e-15	False	(array([-0.36901565, -0.87587206]), (1.1666666666666667, -0.3193548387096775))	False
SNUPN	CDK2;ENHA_THAP11	0.379989557532032	2.46059515596656e-27	False	(array([ 0.27077747, -0.54340621]), (1.1333333333333335, 0.8870967741935483))	False
SNUPN	ENHA_TEAD2;HUWE1	0.309099835384148	1.1639265716772701e-24	False	((1.1666666666666667, 0.7451612903225806), array([0.77112499, 0.25118758]))	False
SNUPN	AURKA;ENHA_FOXP1	0.533110361424171	6.40487273887354e-16	False	(array([-0.72928621, -0.58968399]), (1.1333333333333335, -0.8161290322580645))	False
SNUPN	AURKA;ENHA_NFKB1	0.493302383743754	1.23325416735905e-19	False	(array([-0.72928621, -0.58968399]), (1.1333333333333335, -0.17741935483870974))	False
SNUPN	AURKA;ENHA_NFKB1	0.493302383743754	1.23325416735905e-19	False	(array([-0.72928621, -0.58968399]), (1.1333333333333335, -0.17741935483870974))	False
