Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
SPINT1	ENHA_MGA;YAF2	2.96481350063947	3.63478090619514e-27	False	((1.1333333333333335, -0.11927710843373496), array([-0.94478358, -0.30217595]))	False
SPINT1	ENHA_MGA;L3MBTL2	3.11630391578195	1.322504323157e-27	False	((1.1333333333333335, -0.11927710843373496), array([-0.66546455, -0.74610135]))	False
SPINT1	ENHA_MGA;PCGF6	3.11630391578195	1.322504323157e-27	False	((1.1333333333333335, -0.11927710843373496), array([-0.83409961, -0.41581533]))	False
SPINT1	ENHA_ZBTB7A;ZMYND8	1.91140182232841	0.0001784337136998	False	((1.1333333333333335, 0.9144578313253011), array([-0.27957588,  0.8335128 ]))	False
SPINT1	ENHA_MGA;ZMYND8	2.49238613193686	1.8476433398377e-19	False	((1.1333333333333335, -0.11927710843373496), array([-0.27957588,  0.8335128 ]))	False
SPINT1	BAZ1A;ENHA_TEAD2	2.31451260980647	6.78528011719529e-16	False	(array([-0.59880788,  0.76241155]), (1.1666666666666667, 0.7024096385542169))	False
SPINT1	BAZ1A;ENHA_ZBTB7A	2.69495802148889	2.12856959780542e-17	False	(array([-0.59880788,  0.76241155]), (1.1333333333333335, 0.9144578313253011))	False
SPINT1	ENHA_SNAI1;RING1	4.96169996050537	1.91909239470374e-76	False	((1.1, 0.3313253012048194), array([-0.76382283, -0.60273201]))	False
SPINT1	ENHA_TEAD2;INTS3	2.78442445633272	1.0109350919949801e-23	False	((1.1666666666666667, 0.7024096385542169), array([0.47627179, 0.88566229]))	False
SPINT1	CBX5;ENHA_ZNF460	7.14831180298735	5.06127977887665e-91	False	(array([-0.77673123,  0.41531253]), (1.1333333333333335, 1.0734939759036144))	False
SPINT1	CBX5;ENHA_ZNF274	2.56122294350721	2.1742591477277602e-21	False	(array([-0.77673123,  0.41531253]), (1.1, 1.0469879518072291))	False
SPINT1	CBX5;PROM_ZNF460	5.90163972379886	1.83944404047909e-75	False	(array([-0.77673123,  0.41531253]), (-1.1333333333333335, 1.0531914893617023))	False
SPINT1	ENHA_ZNF274;TRIM28	1.58635804098894	8.41256870600639e-05	False	((1.1, 1.0469879518072291), array([-0.92477481, -0.21856102]))	False
SPINT1	ENHA_MGA;NIN	1.0406569110628	0.891773924392187	False	((1.1333333333333335, -0.11927710843373496), array([ 0.98709183, -0.04388954]))	False
SPINT1	ENHA_TEAD2;USP11	2.34810158046287	7.36361523843761e-14	False	((1.1666666666666667, 0.7024096385542169), array([ 0.53280406, -0.75587136]))	False
SPINT1	ENHA_PKNOX1;PBX1	1.39434309619241	0.0077888497692926	False	((1.1333333333333335, 0.11927710843373496), array([-0.92160045,  0.35535242]))	False
SPINT1	CHD4;ENHA_TEAD2	2.24606458397348	8.0063174327798e-09	False	(array([0.96125683, 0.31561795]), (1.1666666666666667, 0.7024096385542169))	False
