Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
TINAGL1	ENHA_HSF1;KPNA3	0.44282097461119	2.70988850283577e-10	False	((1.1, -0.48125000000000007), array([-0.97411985, -0.29447865]))	False
TINAGL1	ENHA_NFKB1;KPNA3	0.501422147007927	1.3848324182609e-09	False	((1.1, -0.06875000000000009), array([-0.97411985, -0.29447865]))	False
TINAGL1	ENHA_GATA2;PSMA3	0.444384249391609	7.232175013455529e-16	False	((1.1666666666666667, -0.515625), array([-0.80548351, -0.30473545]))	False
TINAGL1	ENHA_HSF1;PLK1	0.403771047588994	9.64731017499346e-16	False	((1.1, -0.48125000000000007), array([-0.42959222,  0.78760867]))	False
TINAGL1	ENHA_NR3C1;RXRB	0.387627895383136	3.64678070185911e-08	False	((1.1666666666666667, 0.10312499999999991), array([-0.97216892,  0.25524759]))	False
TINAGL1	ENHA_REL;NR2C2AP	0.385350929009075	3.47996222250054e-10	False	((1.1333333333333335, 0.2749999999999999), array([-0.79827134, -0.59401737]))	False
TINAGL1	ENHA_NR3C1;RBM14	0.510806558531428	0.0264783753214818	False	((1.1666666666666667, 0.10312499999999991), array([0.41576316, 0.94149282]))	False
TINAGL1	ENHA_GATA2;MED1	0.359897582470904	2.0027066141620003e-17	False	((1.1666666666666667, -0.515625), array([-0.76368391,  0.52849087]))	False
TINAGL1	ENHA_NR3C1;MED1	0.490600360331565	3.49044908842942e-10	False	((1.1666666666666667, 0.10312499999999991), array([-0.76368391,  0.52849087]))	False
TINAGL1	ENHA_HSF1;HSPA8	0.364703600119954	2.85425736343319e-10	False	((1.1, -0.48125000000000007), array([0.86143905, 0.54804385]))	False
TINAGL1	ENHA_RELA;HSPA8	0.446596087033658	3.32158220032973e-05	False	((1.1666666666666667, 0.30937499999999996), array([0.86143905, 0.54804385]))	False
TINAGL1	ENHA_NR3C1;POU2F1	0.46691694472933	1.17561622271363e-15	False	((1.1666666666666667, 0.10312499999999991), array([-0.64167171,  0.78102701]))	False
TINAGL1	ELF1;ENHA_REL	0.37527124967896	1.7700671869193197e-11	False	(array([-0.94027073, -0.25872721]), (1.1333333333333335, 0.2749999999999999))	False
TINAGL1	BANP;ENHA_REL	0.364429823621224	6.7560711699920896e-18	False	(array([ 0.97311702, -0.18527637]), (1.1333333333333335, 0.2749999999999999))	False
TINAGL1	ENHA_TFAP2C;KDM5B	0.406707270574488	5.12709311471283e-25	False	((1.1333333333333335, 0.7906250000000001), array([0.52174722, 0.81866068]))	False
TINAGL1	ENHA_TFAP2C;KDM5B	0.406707270574488	5.12709311471283e-25	False	((1.1333333333333335, 0.7906250000000001), array([0.52174722, 0.81866068]))	False
TINAGL1	CITED2;ENHA_TFAP2C	0.389712969868125	2.33932693172472e-29	False	(array([-0.85597082,  0.50977462]), (1.1333333333333335, 0.7906250000000001))	False
TINAGL1	CITED2;ENHA_TFAP2A	0.468812906459843	9.361105649044429e-22	False	(array([-0.85597082,  0.50977462]), (1.1, 0.7562500000000001))	False
TINAGL1	ENHA_NFYC;FOXK2	0.509974249202908	2.6306416659985e-06	False	((1.1333333333333335, 0.06875000000000009), array([-0.96008827, -0.13626523]))	False
TINAGL1	ENHA_TFAP2C;IKBKB	0.390186630070419	2.52655522118669e-24	False	((1.1333333333333335, 0.7906250000000001), array([ 0.88121585, -0.46439018]))	False
TINAGL1	ENHA_RELA;IKBKB	0.473184731834532	8.46313047551194e-10	False	((1.1666666666666667, 0.30937499999999996), array([ 0.88121585, -0.46439018]))	False
TINAGL1	ENHA_NFKB1;IKBKB	0.507748329731714	1.12224748237543e-17	False	((1.1, -0.06875000000000009), array([ 0.88121585, -0.46439018]))	True
TINAGL1	ENHA_TFAP2C;IKBKB	0.390186630070419	2.52655522118669e-24	False	((1.1333333333333335, 0.7906250000000001), array([ 0.88121585, -0.46439018]))	False
TINAGL1	ENHA_NFKB1;IKBKB	0.507748329731714	1.12224748237543e-17	False	((1.1, -0.06875000000000009), array([ 0.88121585, -0.46439018]))	True
