edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CEBPD;ENHA_CEBPB	5.25761725771873	1.56915493574343e-33	False	(array([-0.32416952,  0.8485139 ]), (1.1666666666666667, -0.9920245398773007))	False
CEBPD;ENHA_E2F1	2.19193063921428	0.0175881654255275	False	(array([-0.32416952,  0.8485139 ]), (1.1, -0.8975460122699387))	False
ENHA_POU2F1;STAT5B	3.63346377638576	7.26490741088318e-06	False	((1.1666666666666667, 0.18220858895705527), array([-0.78483182,  0.34658989]))	False
ENHA_POU2F1;STAT5A	1.81250469026587	0.0113858041291877	False	((1.1666666666666667, 0.18220858895705527), array([-0.16421743,  0.8821131 ]))	False
ENHA_NFYB;NFYC	9.44863747155275	4.89202078295358e-66	False	((1.1, 0.033742331288343586), array([-0.96372902,  0.22733359]))	False
ENHA_SP1;NFYC	5.74499969194602	5.53298529959245e-42	False	((1.1333333333333335, 0.492638036809816), array([-0.96372902,  0.22733359]))	False
ENHA_HIC2;HIC1	3.31933542450839	5.77840719093384e-08	False	((1.1, -0.5331288343558283), array([0.46541768, 0.90671974]))	False
ENHA_SREBF1;MED6	12.5840321903278	1.77166428422255e-76	False	((1.1, 0.5601226993865032), array([0.73711944, 0.70070994]))	False
ENHA_EGR1;MED6	5.09228882107848	1.2654565478252e-30	False	((1.1333333333333335, -0.843558282208589), array([0.73711944, 0.70070994]))	False
ENHA_SREBF2;PSMD4	6.83121422867312	1.53898242236449e-39	False	((1.1333333333333335, 0.5736196319018407), array([-0.95288998, -0.11148389]))	False
ENHA_TCF3;PSMD4	4.36962857579215	6.6691907128474e-14	False	((1.1666666666666667, 0.6276073619631903), array([-0.95288998, -0.11148389]))	False
ENHA_YY1;YAF2	6.35608768830874	1.27472513232774e-46	False	((1.1, 0.8840490797546015), array([0.49643525, 0.82620615]))	False
ENHA_YY1;RYBP	6.4431274552884	2.90117231226652e-47	False	((1.1, 0.8840490797546015), array([-0.92894071,  0.38251236]))	False
CBL;ENHA_MZF1	3.4228557961143	9.69471194957429e-06	False	(array([0.94934565, 0.36693612]), (1.1333333333333335, -0.07423312883435584))	False
ENHA_RUNX2;RBM14	2.96278442521241	0.0001896008665539	False	((1.1, 0.39815950920245413), array([ 0.90484715, -0.3927598 ]))	False
ENHA_NR3C1;RBM14	3.46868220793476	1.30164772576587e-05	False	((1.1666666666666667, 0.10122699386503076), array([ 0.90484715, -0.3927598 ]))	False
ENHA_YY1;PRMT1	2.92368582484909	2.22497021124698e-10	False	((1.1, 0.8840490797546015), array([-0.95849276,  0.26485729]))	False
ENHA_NR3C1;TXN2	9.3657045590397	1.48020612160079e-64	False	((1.1666666666666667, 0.10122699386503076), array([-0.78766167, -0.52301931]))	False
CDKN2A;ENHA_YY1	11.4991955769511	2.5821726479705802e-73	False	(array([-0.06178189, -0.97288859]), (1.1, 0.8840490797546015))	False
BAP1;ENHA_KLF5	6.07835248979699	6.43321661352633e-41	False	(array([ 0.21385412, -0.92343527]), (1.1666666666666667, -0.30368098159509205))	False
BAP1;ENHA_YY1	11.3259247945656	7.52035623013615e-75	False	(array([ 0.21385412, -0.92343527]), (1.1, 0.8840490797546015))	False
ENHA_KLF5;SMURF2	5.04448156337688	2.43392891030708e-30	False	((1.1666666666666667, -0.30368098159509205), array([-0.93926334, -0.19054593]))	False
ENHA_YY1;SMURF2	11.2242172776852	1.77104501593701e-74	False	((1.1, 0.8840490797546015), array([-0.93926334, -0.19054593]))	False
ENHA_RUNX1;VDR	3.93135811013078	8.078678047729579e-11	False	((1.1666666666666667, 0.3846625766871168), array([-0.96498358,  0.1354434 ]))	False
ENHA_STAT1;VDR	3.09391499360315	1.06917011106349e-06	False	((1.1, 0.6006134969325154), array([-0.96498358,  0.1354434 ]))	False
ENHA_RUNX1;FOXP3	4.2436200613298	3.12676691156056e-10	False	((1.1666666666666667, 0.3846625766871168), array([0.98012751, 0.11890551]))	False
ENHA_STAT1;FOXP3	4.41996545711537	0.0001786847745547	False	((1.1, 0.6006134969325154), array([0.98012751, 0.11890551]))	False
EIF1AD;ENHA_STAT1	8.77974644567287	1.74049299764295e-60	False	(array([ 0.77341765, -0.65246928]), (1.1, 0.6006134969325154))	False
ENHA_FOS;YEATS4	5.84122884644327	2.79317992349164e-21	False	((1.1333333333333335, -0.6815950920245399), array([-0.26680943, -0.90067351]))	False
ENHA_FOSL2;RPL30	5.12888317866664	4.552484381112651e-19	False	((1.1666666666666667, -0.6680981595092025), array([0.67285746, 0.6704914 ]))	False
ENHA_NFKB2;RPL30	4.60856863587456	9.283978961262139e-11	False	((1.1333333333333335, 0.006748466257668673), array([0.67285746, 0.6704914 ]))	False
CALCOCO2;ENHA_RXRB	5.79389381724904	1.0400519405887e-18	False	(array([ 0.84192407, -0.38972783]), (1.1333333333333335, 0.4116564417177915))	False
ENHA_RXRB;SPOP	5.35276050207623	1.72786009955825e-22	False	((1.1333333333333335, 0.4116564417177915), array([-0.0850286 ,  0.98544252]))	False
DROSHA;ENHA_BCL6	9.50757153430753	4.5241036602907495e-62	False	(array([0.54413885, 0.71025741]), (1.1666666666666667, -1.032515337423313))	False
DROSHA;ENHA_SP1	5.59228869797161	4.4973319088072296e-33	False	(array([0.54413885, 0.71025741]), (1.1333333333333335, 0.492638036809816))	False
ENHA_HSF1;KPNA3	5.55764670737022	7.8466109665711e-35	False	((1.1, -0.492638036809816), array([-0.30979788, -0.86450464]))	False
ENHA_MAF;SOX9	3.63195869657715	1.98721908196751e-05	False	((1.1666666666666667, -0.2631901840490797), array([-0.97479093,  0.19411412]))	False
ENHA_TP53;GTF2H1	7.58141700140545	6.02673854135338e-53	False	((1.1, 0.8030674846625769), array([ 0.94677782, -0.21286552]))	False
ENHA_RXRB;GTF2H1	6.92618582654541	6.4709683287105e-39	False	((1.1333333333333335, 0.4116564417177915), array([ 0.94677782, -0.21286552]))	False
ENHA_TP53;RPS3	6.43461043375366	6.93899544111483e-43	False	((1.1, 0.8030674846625769), array([0.95146459, 0.22767048]))	False
ENHA_NFKB1;RPS3	4.49348748678092	1.3867489614593798e-22	False	((1.1, -0.006748466257668673), array([0.95146459, 0.22767048]))	False
ENHA_TP53;NR4A1	3.29620937149206	1.83940996739983e-06	False	((1.1, 0.8030674846625769), array([0.29401934, 0.96770787]))	False
ENHA_STAT3;NR4A1	3.55105561363762	2.30150374386483e-06	False	((1.1333333333333335, 0.614110429447853), array([0.29401934, 0.96770787]))	False
ENHA_TP53;PTK2	3.33068708777048	6.63313679359371e-07	False	((1.1, 0.8030674846625769), array([0.90561086, 0.41285044]))	False
ENHA_STAT3;PTK2	3.83166053516712	1.61526117220351e-07	False	((1.1333333333333335, 0.614110429447853), array([0.90561086, 0.41285044]))	False
APEX1;ENHA_TP53	3.33068708777048	6.63313679359371e-07	False	(array([-0.85257244,  0.50994056]), (1.1, 0.8030674846625769))	False
APEX1;ENHA_STAT3	3.83166053516712	1.61526117220351e-07	False	(array([-0.85257244,  0.50994056]), (1.1333333333333335, 0.614110429447853))	False
ENHA_TP53;MTOR	3.33068708777048	6.63313679359371e-07	False	((1.1, 0.8030674846625769), array([0.48176327, 0.87579304]))	False
ENHA_STAT3;MTOR	3.83166053516712	1.61526117220351e-07	False	((1.1333333333333335, 0.614110429447853), array([0.48176327, 0.87579304]))	False
