Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
TMEM268	ENHA_STAT3;KHDRBS1	0.350119701213705	7.11452546587996e-17	False	((1.1333333333333335, 0.75), array([-0.93759494, -0.33740336]))	False
TMEM268	ENHA_REL;NFKBIB	0.376876068189369	3.04620135819313e-10	False	((1.1, 0.10000000000000009), array([-0.76322425, -0.54481584]))	False
TMEM268	ENHA_NFKB1;NFKBIB	0.495592547893804	3.38203501597082e-16	False	((1.1333333333333335, -0.30000000000000004), array([-0.76322425, -0.54481584]))	False
TMEM268	ENHA_REL;SDCBP	0.301988047292042	1.7304331171736402e-15	False	((1.1, 0.10000000000000009), array([-0.40181015,  0.77849317]))	False
TMEM268	ENHA_SOX4;SDCBP	0.454962186348348	5.68506167857687e-14	False	((1.1333333333333335, 0.44999999999999996), array([-0.40181015,  0.77849317]))	False
TMEM268	ENHA_REL;EPM2AIP1	0.289581528707979	2.9409684936246202e-15	False	((1.1, 0.10000000000000009), array([-0.95255675,  0.2113113 ]))	False
TMEM268	ENHA_REL;POLR2L	0.308096386890678	3.41550777172759e-15	False	((1.1, 0.10000000000000009), array([-0.83160408,  0.12579119]))	False
TMEM268	EIF1AD;ENHA_STAT1	0.488090186995135	7.786168850389061e-15	False	(array([-0.77508728, -0.59623478]), (1.1, 0.7))	False
TMEM268	ENHA_REL;GRB2	0.299897483392689	8.34419489879093e-13	False	((1.1, 0.10000000000000009), array([-0.65440632,  0.60497956]))	False
TMEM268	ENHA_SP2;MCM7	0.655849337555278	1.9182779251674e-05	False	((1.1, 0.55), array([-0.48973097, -0.88496096]))	False
TMEM268	CDC73;ENHA_RFX5	0.445049779670545	4.70422613113489e-07	False	(array([-0.67413427,  0.70059719]), (1.1666666666666667, 0.19999999999999996))	False
TMEM268	ENHA_SOX10;NMI	0.429045387105336	0.0001438464804747	False	((1.1, 0.3999999999999999), array([ 0.59014943, -0.72731739]))	False
TMEM268	ENHA_SNAI1;EZH2	0.441514280896674	1.4090517752317e-07	False	((1.1333333333333335, 0.30000000000000004), array([-0.89225469,  0.42302896]))	False
TMEM268	ENHA_KLF5;UBA52	0.421218283146623	5.70212673516715e-26	False	((1.1333333333333335, -0.75), array([-0.25431436,  0.87139478]))	False
TMEM268	ENHA_KLF5;FBXW7	0.372003791065023	2.65481622163443e-34	False	((1.1333333333333335, -0.75), array([-0.94159128, -0.11390736]))	False
TMEM268	ENHA_KLF5;ZBTB17	0.361576178541378	2.71117756369698e-27	False	((1.1333333333333335, -0.75), array([ 0.92295416, -0.37198375]))	False
TMEM268	CTR9;ENHA_STAT3	0.371978800964802	2.46149739978789e-12	False	(array([-0.3451453 , -0.91310679]), (1.1333333333333335, 0.75))	False
TMEM268	DNMT1;ENHA_STAT3	0.548197329064066	0.0015241979459648	False	(array([-0.94379546,  0.26390362]), (1.1333333333333335, 0.75))	False
TMEM268	ENHA_STAT3;ZNF281	0.505621447850733	0.0006454040137448	False	((1.1333333333333335, 0.75), array([-0.64584338, -0.69399986]))	False
TMEM268	ENHA_STAT3;IRAK1	0.493288303765353	0.0002111455734171	False	((1.1333333333333335, 0.75), array([ 0.03952149, -0.98995492]))	False
