Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
TPD52L2	CEP70;ENHA_ZNF136	3.2734840222114	3.90381469475054e-35	False	(array([-0.30156436,  0.86169362]), (1.1666666666666667, 1.0053763440860215))	False
TPD52L2	CCNDBP1;ENHA_ZNF136	2.35494023854608	1.4372826073883802e-10	False	(array([-0.68134443, -0.75294795]), (1.1666666666666667, 1.0053763440860215))	False
TPD52L2	CDKN2C;ENHA_REL	2.17321778575928	3.8643344484904e-09	False	(array([-0.85371064, -0.42753347]), (1.1666666666666667, 0.22473118279569904))	False
TPD52L2	ENHA_REL;POLR1A	2.51000674960206	2.42246407928701e-11	False	((1.1666666666666667, 0.22473118279569904), array([-0.37650329,  0.80040888]))	False
TPD52L2	ENHA_REL;ZNF688	2.49998604296859	1.4496698834230198e-11	False	((1.1666666666666667, 0.22473118279569904), array([-0.60412907,  0.79228262]))	False
TPD52L2	ENHA_REL;HAT1	2.51000674960206	2.42246407928701e-11	False	((1.1666666666666667, 0.22473118279569904), array([-0.98018757,  0.21935128]))	False
TPD52L2	ENHA_REL;MAGOHB	2.51000674960206	2.42246407928701e-11	False	((1.1666666666666667, 0.22473118279569904), array([-0.85391996,  0.14097548]))	False
TPD52L2	ENHA_REL;MRPL10	2.51000674960206	2.42246407928701e-11	False	((1.1666666666666667, 0.22473118279569904), array([-0.78576251, -0.60756985]))	False
TPD52L2	ENHA_REL;RNF6	2.51000674960206	2.42246407928701e-11	False	((1.1666666666666667, 0.22473118279569904), array([0.46753166, 0.90077728]))	False
TPD52L2	ENHA_REL;MAD2L2	2.40598019500582	9.79422256484811e-13	False	((1.1666666666666667, 0.22473118279569904), array([-0.78450876,  0.48715114]))	False
TPD52L2	CHAF1A;ENHA_REL	2.3196730250992	4.869638131903771e-10	False	(array([0.7411599 , 0.68609658]), (1.1666666666666667, 0.22473118279569904))	False
TPD52L2	ENHA_REL;NOL9	2.51000674960206	2.42246407928701e-11	False	((1.1666666666666667, 0.22473118279569904), array([-0.65040067, -0.81283426]))	False
TPD52L2	ENHA_REL;EXOSC1	2.51000674960206	2.42246407928701e-11	False	((1.1666666666666667, 0.22473118279569904), array([-0.71626346,  0.70366724]))	False
TPD52L2	ENHA_REL;PTGER3	2.51000674960206	2.42246407928701e-11	False	((1.1666666666666667, 0.22473118279569904), array([-0.95508639, -0.1981408 ]))	False
