Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
TXNDC16	ENHA_JUNB;SET	0.406523352998087	2.41972065210443e-19	False	((1.1333333333333335, -0.22916666666666674), array([-0.96810045, -0.30288419]))	False
TXNDC16	ENHA_FOS;SET	0.34057871434388	3.94946295866261e-21	False	((1.1666666666666667, -0.8708333333333333), array([-0.96810045, -0.30288419]))	False
TXNDC16	ENHA_FOS;PRKAA2	0.371058948463391	2.21694797018689e-20	False	((1.1666666666666667, -0.8708333333333333), array([-0.8024848 , -0.50496481]))	False
TXNDC16	CTNNB1;ENHA_TCF7	0.442890232236081	3.87539046085749e-14	False	(array([-0.75033739, -0.25090036]), (1.1333333333333335, 0.7333333333333334))	False
TXNDC16	CTNNB1;ENHA_TCF7L2	0.463389547113736	4.65885955064797e-14	False	(array([-0.75033739, -0.25090036]), (1.1666666666666667, 0.7791666666666668))	False
TXNDC16	CTNNB1;ENHA_FOS	0.367553250801028	2.45337733669638e-23	False	(array([-0.75033739, -0.25090036]), (1.1666666666666667, -0.8708333333333333))	False
TXNDC16	ENHA_FOS;NFATC2	0.372203237136917	1.2356234601442001e-20	False	((1.1666666666666667, -0.8708333333333333), array([-0.98236887,  0.21895201]))	False
TXNDC16	ENHA_TCF7L2;RBPMS	0.469689780272885	0.0026116019743858	False	((1.1666666666666667, 0.7791666666666668), array([-0.74157503,  0.3968787 ]))	False
TXNDC16	ENHA_FOS;KDM2A	0.323316474023195	5.1453675666997e-05	False	((1.1666666666666667, -0.8708333333333333), array([-0.78350516, -0.60424663]))	False
TXNDC16	ENHA_BACH2;PATZ1	0.408512096133831	4.775134782023389e-16	False	((1.1, -1.1), array([-0.48849535,  0.78003945]))	False
TXNDC16	ENHA_PPARD;RXRB	0.387520621914522	0.0073986445551121	False	((1.1666666666666667, 0.3666666666666667), array([-0.61533366, -0.82773033]))	True
TXNDC16	ENHA_FOS;SMARCC1	0.381660194415209	1.01185891956789e-12	False	((1.1666666666666667, -0.8708333333333333), array([-0.66522217,  0.76166635]))	False
TXNDC16	ENHA_JDP2;IRF2BP1	0.22074067856569	0.0237660237097816	False	((1.1, -0.275), array([ 0.93598232, -0.25001985]))	False
TXNDC16	ENHA_JDP2;PGR	0.418869620522886	2.1077147523119199e-16	False	((1.1, -0.275), array([ 0.5602293 , -0.71328733]))	False
TXNDC16	ENHA_MEF2A;MEF2D	0.563818796517682	1.3855694476554e-11	False	((1.1333333333333335, 0.04583333333333339), array([-0.91855695,  0.44886818]))	False
TXNDC16	ENHA_TCF7L2;FOXM1	0.539012327085792	1.7486619267932302e-09	False	((1.1666666666666667, 0.7791666666666668), array([0.90883787, 0.45292028]))	False
