Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
TXNRD2	ENHA_HSF1;NCOA6	0.947690989732389	0.818998567008352	False	((1.1333333333333335, -0.66), array([-0.95232096, -0.14857649]))	False
TXNRD2	NCOA6;PROM_SMAD3	1.74724433114998	0.087321559754276	False	(array([-0.95232096, -0.14857649]), (-1.1, 0.6111111111111112))	False
TXNRD2	EHMT2;ENHA_KLF3	0.251166157488535	5.7891919228883395e-36	False	(array([-0.45984439,  0.26320657]), (1.1333333333333335, 0.6600000000000001))	False
TXNRD2	EHMT2;PROM_RELB	1.31447380576822	0.219714587396604	False	(array([-0.45984439,  0.26320657]), (-1.1666666666666667, 0.5296296296296297))	False
TXNRD2	EHMT2;PROM_KLF6	0.224881118718834	7.95187586382665e-41	False	(array([-0.45984439,  0.26320657]), (-1.1, 0.12222222222222223))	False
TXNRD2	ENHA_HSF2;WDR5	0.491953493851432	9.02650280063784e-08	False	((1.1666666666666667, -0.21999999999999997), array([-0.35197702, -0.57656291]))	False
TXNRD2	PROM_E2F6;WDR5	0.638855224698033	4.18509717126339e-07	False	((-1.1666666666666667, -0.9370370370370371), array([-0.35197702, -0.57656291]))	False
TXNRD2	ENHA_KLF2;SMURF1	0.30080659058702	1.6531247318752802e-17	False	((1.1, 0.2200000000000002), array([ 0.32354581, -0.05259879]))	False
TXNRD2	PROM_SMAD3;SMURF1	2.28277613253978	0.0190881379056088	False	((-1.1, 0.6111111111111112), array([ 0.32354581, -0.05259879]))	False
TXNRD2	PROM_SMAD5;SMURF1	1.57604414889776	0.126635934110531	False	((-1.1333333333333335, 0.6925925925925926), array([ 0.32354581, -0.05259879]))	False
TXNRD2	ENHA_KLF2;WWP1	0.136447910436677	3.09274270212036e-73	False	((1.1, 0.2200000000000002), array([-0.01539404, -0.38905351]))	False
TXNRD2	PROM_KLF5;WWP1	0.12006664394425	5.25852633066663e-86	False	((-1.1666666666666667, 0.040740740740740744), array([-0.01539404, -0.38905351]))	False
TXNRD2	PROM_SMAD3;WWP1	2.28277613253978	0.0190881379056088	False	((-1.1, 0.6111111111111112), array([-0.01539404, -0.38905351]))	False
TXNRD2	PROM_SMAD5;WWP1	1.65325313077581	0.0924745821248834	False	((-1.1333333333333335, 0.6925925925925926), array([-0.01539404, -0.38905351]))	False
TXNRD2	ENHA_KLF3;FHL3	0.466388909554715	7.69743196144853e-12	False	((1.1333333333333335, 0.6600000000000001), array([-0.15518148, -0.10617338]))	False
TXNRD2	FHL3;PROM_SMAD3	2.09091130511905	0.039916081783321	False	(array([-0.15518148, -0.10617338]), (-1.1, 0.6111111111111112))	False
TXNRD2	FHL3;PROM_MZF1	1.13149785488403	0.536297589408956	False	(array([-0.15518148, -0.10617338]), (-1.1333333333333335, 0.20370370370370372))	False
TXNRD2	ENHA_KLF2;FBXW7	0.192136685749922	4.69892825356659e-63	False	((1.1, 0.2200000000000002), array([ 0.58004984, -0.26981203]))	False
TXNRD2	FBXW7;PROM_KLF5	0.258439436884136	3.64419368044723e-52	False	(array([ 0.58004984, -0.26981203]), (-1.1666666666666667, 0.040740740740740744))	False
TXNRD2	FBXW7;PROM_NFKB2	0.636821128103982	0.0005615181816412	False	(array([ 0.58004984, -0.26981203]), (-1.1, 0.3666666666666667))	False
TXNRD2	CTBP2;ENHA_KLF3	0.324913319773576	3.31783624214754e-19	False	(array([-0.47711304,  0.60345423]), (1.1333333333333335, 0.6600000000000001))	False
TXNRD2	CTBP2;PROM_ZEB1	0.510799049122949	2.06831945104327e-07	False	(array([-0.47711304,  0.60345423]), (-1.1, 1.1))	False
TXNRD2	ENHA_HSF1;HSP90AB1	0.548263747551916	1.33108137613006e-06	False	((1.1333333333333335, -0.66), array([-0.30184563,  0.86082179]))	False
TXNRD2	ENHA_HSF1;KPNA3	0.490816514758047	5.82225251403806e-07	False	((1.1333333333333335, -0.66), array([-0.82249303,  0.27916955]))	False
TXNRD2	HSP90AB1;PROM_NFKB1	0.741059724491531	0.0026519641264892	False	(array([-0.30184563,  0.86082179]), (-1.1666666666666667, 0.2851851851851852))	False
TXNRD2	KPNA3;PROM_NFKB1	0.590933456907499	2.10320545857083e-06	False	(array([-0.82249303,  0.27916955]), (-1.1666666666666667, 0.2851851851851852))	False
TXNRD2	CDK2;ENHA_THAP11	0.34527367215536	8.30210743289046e-26	False	(array([-0.29563289, -0.93280815]), (1.1666666666666667, 1.1))	False
TXNRD2	CDK2;PROM_SMAD3	1.62672137811214	0.160475765901974	False	(array([-0.29563289, -0.93280815]), (-1.1, 0.6111111111111112))	False
TXNRD2	CDK2;PROM_TFDP1	0.380579924333125	4.31143169716449e-22	False	(array([-0.29563289, -0.93280815]), (-1.1666666666666667, 1.0185185185185186))	False
TXNRD2	CDK2;PROM_E2F1	0.583524698082239	2.1933482602454e-08	False	(array([-0.29563289, -0.93280815]), (-1.1, -1.1))	False
TXNRD2	CDK2;PROM_E2F4	0.490253071613376	1.8022496453648e-14	False	(array([-0.29563289, -0.93280815]), (-1.1333333333333335, -1.0185185185185186))	False
TXNRD2	AURKA;ENHA_FOXP1	0.586152075810004	5.62110287185171e-10	False	(array([ 0.58454916, -0.11011496]), (1.1, -1.1))	False
TXNRD2	AURKA;PROM_NFKB1	0.71793962007243	0.000470974807136	False	(array([ 0.58454916, -0.11011496]), (-1.1666666666666667, 0.2851851851851852))	False
TXNRD2	AURKA;PROM_KLF4	0.392772993747029	3.39460832254949e-27	False	(array([ 0.58454916, -0.11011496]), (-1.1333333333333335, -0.040740740740740744))	False
TXNRD2	ENHA_HSF2;NUP62	0.518979803958291	5.03336612553093e-08	False	((1.1666666666666667, -0.21999999999999997), array([-0.91702003,  0.03627402]))	False
TXNRD2	ENHA_THAP11;PSMC5	0.287445208341941	4.44593944084122e-35	False	((1.1666666666666667, 1.1), array([ 0.76985408, -0.18421937]))	False
TXNRD2	ENHA_HSF1;HSP90AA1	0.456284869823977	7.631455473340671e-15	False	((1.1333333333333335, -0.66), array([0.93812176, 0.18155617]))	False
TXNRD2	NUP62;PROM_SP1	0.369555456585717	8.01899633502123e-30	False	(array([-0.91702003,  0.03627402]), (-1.1666666666666667, 0.7740740740740741))	False
TXNRD2	PROM_SP1;PSMC5	0.427604215594974	9.144477770444241e-23	False	((-1.1666666666666667, 0.7740740740740741), array([ 0.76985408, -0.18421937]))	False
TXNRD2	HSP90AA1;PROM_SP1	0.445044834399311	1.1857287649346101e-20	False	(array([0.93812176, 0.18155617]), (-1.1666666666666667, 0.7740740740740741))	False
TXNRD2	CEBPB;ENHA_HSF1	0.483172918074279	2.24058421289136e-12	False	(array([-0.47961817,  0.0098118 ]), (1.1333333333333335, -0.66))	False
TXNRD2	CEBPB;PROM_KLF5	0.336916392206054	1.7500614918267201e-35	False	(array([-0.47961817,  0.0098118 ]), (-1.1666666666666667, 0.040740740740740744))	False
TXNRD2	CEBPB;PROM_NFKB1	0.63591094202418	3.51403194362914e-06	False	(array([-0.47961817,  0.0098118 ]), (-1.1666666666666667, 0.2851851851851852))	False
TXNRD2	CEBPB;PROM_EGR1	0.349555470310218	2.7131927680094898e-33	False	(array([-0.47961817,  0.0098118 ]), (-1.1, -0.8555555555555556))	False
TXNRD2	CTBP1;ENHA_KLF3	0.285127441971731	1.62157791749664e-36	False	(array([ 0.32981828, -0.25426546]), (1.1333333333333335, 0.6600000000000001))	False
TXNRD2	CTBP1;ENHA_FOXP1	0.56880855396818	5.97170589102963e-11	False	(array([ 0.32981828, -0.25426546]), (1.1, -1.1))	False
TXNRD2	CTBP1;ENHA_THAP11	0.298714145332122	2.11201789944189e-32	False	(array([ 0.32981828, -0.25426546]), (1.1666666666666667, 1.1))	False
TXNRD2	CTBP1;PROM_ZEB1	0.77307075567501	0.0202204269376192	False	(array([ 0.32981828, -0.25426546]), (-1.1, 1.1))	False
TXNRD2	CTBP1;PROM_KLF4	0.393492523066777	6.40212092524756e-27	False	(array([ 0.32981828, -0.25426546]), (-1.1333333333333335, -0.040740740740740744))	False
TXNRD2	EHMT2;PROM_KLF3	0.243785635960666	9.20424859124491e-39	False	(array([-0.45984439,  0.26320657]), (-1.1, -0.12222222222222223))	False
TXNRD2	FHL3;PROM_KLF3	0.298621042473156	5.75020139985155e-32	False	(array([-0.15518148, -0.10617338]), (-1.1, -0.12222222222222223))	False
TXNRD2	CTBP2;PROM_KLF3	0.312235476120236	2.16536370727123e-30	False	(array([-0.47711304,  0.60345423]), (-1.1, -0.12222222222222223))	False
TXNRD2	CTBP1;PROM_KLF3	0.409322542761491	1.13289966134027e-21	False	(array([ 0.32981828, -0.25426546]), (-1.1, -0.12222222222222223))	False
TXNRD2	ENHA_HSF1;SUMO1	0.709761181466371	0.0014059981964446	False	((1.1333333333333335, -0.66), array([0.72176247, 0.57241378]))	False
TXNRD2	ENHA_HSF1;MAPK3	0.646696381771309	0.0001229467671516	False	((1.1333333333333335, -0.66), array([0.56427988, 0.16577771]))	False
TXNRD2	MAPK3;PROM_ELK4	0.869148142863836	0.215338935557585	False	(array([0.56427988, 0.16577771]), (-1.1666666666666667, -0.6925925925925926))	False
TXNRD2	CDK6;ENHA_HSF1	0.499832796806615	3.6750350913811695e-11	False	(array([0.1764317 , 0.50439376]), (1.1333333333333335, -0.66))	False
TXNRD2	CDK6;PROM_TFDP1	0.525421358932914	2.37005116952678e-12	False	(array([0.1764317 , 0.50439376]), (-1.1666666666666667, 1.0185185185185186))	False
TXNRD2	CDK6;PROM_MZF1	1.0502988070742	0.764558724768789	False	(array([0.1764317 , 0.50439376]), (-1.1333333333333335, 0.20370370370370372))	False
TXNRD2	PROM_ELK1;SUMO1	0.92915526036863	0.581110557449462	False	((-1.1333333333333335, -0.7740740740740741), array([0.72176247, 0.57241378]))	False
TXNRD2	MAPK3;PROM_ELK1	0.873814935454447	0.341491063769381	False	(array([0.56427988, 0.16577771]), (-1.1333333333333335, -0.7740740740740741))	False
TXNRD2	CDK6;PROM_ELK1	0.753493854114176	0.0387642335562239	False	(array([0.1764317 , 0.50439376]), (-1.1333333333333335, -0.7740740740740741))	False
TXNRD2	ENHA_HSF1;MAPK8	0.455964367986336	3.09118047263677e-15	False	((1.1333333333333335, -0.66), array([-0.11647907,  0.55221033]))	False
TXNRD2	MAPK8;PROM_SMAD3	2.21266075409176	0.0137242274683748	False	(array([-0.11647907,  0.55221033]), (-1.1, 0.6111111111111112))	False
TXNRD2	MAPK8;PROM_SP1	0.405534818099037	2.90022783010631e-22	False	(array([-0.11647907,  0.55221033]), (-1.1666666666666667, 0.7740740740740741))	False
TXNRD2	MAPK8;PROM_ELK4	0.897370415683655	0.321236591406561	False	(array([-0.11647907,  0.55221033]), (-1.1666666666666667, -0.6925925925925926))	False
TXNRD2	MAPK8;PROM_ELK1	0.849436441916627	0.218678173033102	False	(array([-0.11647907,  0.55221033]), (-1.1333333333333335, -0.7740740740740741))	False
TXNRD2	ENHA_THAP11;HCFC1	0.347976361834115	2.5750002460351197e-28	False	((1.1666666666666667, 1.1), array([ 0.09546405, -0.62603674]))	False
TXNRD2	HCFC1;PROM_E2F4	0.505273274214466	1.5294822569289102e-14	False	(array([ 0.09546405, -0.62603674]), (-1.1333333333333335, -1.0185185185185186))	False
TXNRD2	HCFC1;PROM_SP1	0.389489822310213	3.22922457342684e-23	False	(array([ 0.09546405, -0.62603674]), (-1.1666666666666667, 0.7740740740740741))	False
TXNRD2	HCFC1;PROM_GABPA	1.10492870793235	0.334640391315833	False	(array([ 0.09546405, -0.62603674]), (-1.1, -0.3666666666666667))	False
TXNRD2	ENHA_KLF2;EP300	0.289218767733378	7.22026600920834e-45	False	((1.1, 0.2200000000000002), array([ 0.15023849, -0.18154357]))	False
TXNRD2	EP300;PROM_KLF5	0.420142120245812	1.45437072147763e-23	False	(array([ 0.15023849, -0.18154357]), (-1.1666666666666667, 0.040740740740740744))	False
TXNRD2	EP300;PROM_SMAD3	2.38125566902558	0.0030114532656336	False	(array([ 0.15023849, -0.18154357]), (-1.1, 0.6111111111111112))	False
TXNRD2	EP300;PROM_SMAD5	1.82902766667276	0.0176425906183948	False	(array([ 0.15023849, -0.18154357]), (-1.1333333333333335, 0.6925925925925926))	False
TXNRD2	EP300;PROM_TFAP2A	0.463951349189992	2.0350395696312998e-17	False	(array([ 0.15023849, -0.18154357]), (-1.1, 0.8555555555555556))	False
TXNRD2	EP300;PROM_ZEB1	0.816738774912902	0.0681592332266122	False	(array([ 0.15023849, -0.18154357]), (-1.1, 1.1))	False
TXNRD2	EP300;PROM_NFKB1	0.804651871662561	0.0176735148944769	False	(array([ 0.15023849, -0.18154357]), (-1.1666666666666667, 0.2851851851851852))	False
TXNRD2	EP300;PROM_KLF4	0.435651656688218	2.07049774774943e-21	False	(array([ 0.15023849, -0.18154357]), (-1.1333333333333335, -0.040740740740740744))	False
TXNRD2	EP300;PROM_SP1	0.599706077842557	3.33561475705647e-06	False	(array([ 0.15023849, -0.18154357]), (-1.1666666666666667, 0.7740740740740741))	False
TXNRD2	EP300;PROM_EGR1	0.521433408599671	5.21574251894314e-12	False	(array([ 0.15023849, -0.18154357]), (-1.1, -0.8555555555555556))	False
TXNRD2	EP300;PROM_ELK1	0.919284291459698	0.544420648632173	False	(array([ 0.15023849, -0.18154357]), (-1.1333333333333335, -0.7740740740740741))	False
TXNRD2	EP300;PROM_ETV1	1.17570812000923	0.139066500410178	False	(array([ 0.15023849, -0.18154357]), (-1.1666666666666667, -0.4481481481481482))	False
TXNRD2	EP300;PROM_ETS2	0.919085897559254	0.687512444508455	False	(array([ 0.15023849, -0.18154357]), (-1.1333333333333335, -0.5296296296296297))	False
TXNRD2	EP300;PROM_GABPA	1.24170001903153	0.0257319916155148	False	(array([ 0.15023849, -0.18154357]), (-1.1, -0.3666666666666667))	False
TXNRD2	ENHA_HSF2;UBE2I	0.575859962098528	1.43448667244515e-06	False	((1.1666666666666667, -0.21999999999999997), array([0.03813311, 0.33931899]))	False
TXNRD2	PROM_TFAP2C;UBE2I	0.513185703449817	9.32313604836e-15	False	((-1.1333333333333335, 0.9370370370370371), array([0.03813311, 0.33931899]))	False
TXNRD2	PROM_TFAP2A;UBE2I	0.445843770524256	1.4423816773468e-19	False	((-1.1, 0.8555555555555556), array([0.03813311, 0.33931899]))	False
TXNRD2	PROM_ELK1;UBE2I	0.906911945314853	0.464844247806395	False	((-1.1333333333333335, -0.7740740740740741), array([0.03813311, 0.33931899]))	False
TXNRD2	ENHA_HSF2;RBBP6	0.800224715165331	0.47686011669617	False	((1.1666666666666667, -0.21999999999999997), array([0.18893838, 0.95342299]))	False
TXNRD2	ENHA_THAP11;SRSF11	0.80088280584597	0.43026648171574	False	((1.1666666666666667, 1.1), array([-0.48575521, -0.84145001]))	False
TXNRD2	ENHA_HSF1;MAPK1	0.525814913071384	1.4889486895208102e-09	False	((1.1333333333333335, -0.66), array([0.47399443, 0.29556538]))	False
TXNRD2	MAPK1;PROM_SMAD3	2.02244566144663	0.0246269101131298	False	(array([0.47399443, 0.29556538]), (-1.1, 0.6111111111111112))	False
TXNRD2	MAPK1;PROM_ELK1	0.818126754246624	0.134177974887321	False	(array([0.47399443, 0.29556538]), (-1.1333333333333335, -0.7740740740740741))	False
TXNRD2	EP300;PROM_ETS1	1.14094971073703	0.360252412055019	False	(array([ 0.15023849, -0.18154357]), (-1.1, -0.6111111111111112))	False
TXNRD2	PROM_ETS1;UBE2I	1.08165275632287	0.588908346551451	False	((-1.1, -0.6111111111111112), array([0.03813311, 0.33931899]))	False
TXNRD2	PROM_ETS1;RBBP6	0.441332836289143	0.0594034883233797	False	((-1.1, -0.6111111111111112), array([0.18893838, 0.95342299]))	False
TXNRD2	PROM_ETS1;SRSF11	0.825025161875594	0.494485888748814	False	((-1.1, -0.6111111111111112), array([-0.48575521, -0.84145001]))	False
TXNRD2	MAPK1;PROM_ETS1	1.03765341538548	0.811684244992257	False	(array([0.47399443, 0.29556538]), (-1.1, -0.6111111111111112))	False
TXNRD2	DAXX;ENHA_HSF1	0.804841347572895	0.0759223964924386	False	(array([0.37472305, 0.8863589 ]), (1.1333333333333335, -0.66))	False
TXNRD2	DAXX;PROM_RELB	1.33179587100709	0.224129825372269	False	(array([0.37472305, 0.8863589 ]), (-1.1666666666666667, 0.5296296296296297))	False
TXNRD2	DAXX;PROM_ETS1	0.959779890771571	0.866346746121344	False	(array([0.37472305, 0.8863589 ]), (-1.1, -0.6111111111111112))	False
TXNRD2	PROM_KLF2;SMURF1	0.286588376064874	1.12983787132052e-33	False	((-1.1666666666666667, -0.20370370370370372), array([ 0.32354581, -0.05259879]))	False
TXNRD2	PROM_KLF2;WWP1	0.114740374385115	2.25761209480771e-80	False	((-1.1666666666666667, -0.20370370370370372), array([-0.01539404, -0.38905351]))	False
TXNRD2	FBXW7;PROM_KLF2	0.267661012935232	2.1865235419573102e-47	False	(array([ 0.58004984, -0.26981203]), (-1.1666666666666667, -0.20370370370370372))	False
TXNRD2	EP300;PROM_KLF2	0.425715363591955	7.60294034154134e-23	False	(array([ 0.15023849, -0.18154357]), (-1.1666666666666667, -0.20370370370370372))	False
TXNRD2	ENHA_KLF2;KAT2B	0.286400204221028	1.67316125139681e-44	False	((1.1, 0.2200000000000002), array([-0.23224701, -0.69110761]))	False
TXNRD2	KAT2B;PROM_SMAD3	2.27754484839185	0.0066794334239518	False	(array([-0.23224701, -0.69110761]), (-1.1, 0.6111111111111112))	False
TXNRD2	KAT2B;PROM_E2F1	0.700445221892501	9.03853733575342e-05	False	(array([-0.23224701, -0.69110761]), (-1.1, -1.1))	False
TXNRD2	KAT2B;PROM_KLF15	0.429068375054609	2.7210195895128697e-22	False	(array([-0.23224701, -0.69110761]), (-1.1333333333333335, -0.2851851851851852))	False
