Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
WIF1	CTR9;ENHA_STAT3	0.609766088008066	0.0006179204523864	False	(array([-0.52810781,  0.43854199]), (1.1333333333333335, 0.7615384615384615))	False
WIF1	CTR9;PROM_VEZF1	0.282819583721698	1.55145895391357e-12	False	(array([-0.52810781,  0.43854199]), (-1.1666666666666667, 0.7740740740740741))	False
WIF1	CCND1;ENHA_STAT3	0.350040616275666	2.68543467327942e-16	False	(array([-0.71354892, -0.32206156]), (1.1333333333333335, 0.7615384615384615))	False
WIF1	ENHA_MAX;FOXK2	0.54260660412219	5.067213129600681e-09	False	((1.1, 0.1692307692307693), array([-0.55207816,  0.69796868]))	False
WIF1	ENHA_STAT3;SIAH1	0.432038896691733	2.57400955742375e-15	False	((1.1333333333333335, 0.7615384615384615), array([-0.49340907,  0.74566623]))	False
WIF1	ENHA_MEF2A;MEF2D	0.49550816812007	1.93221712760917e-13	False	((1.1333333333333335, 0.25384615384615383), array([-0.84363314,  0.15905983]))	False
WIF1	ENHA_HSF1;HSP90AA1	0.456284869823977	7.631455473340671e-15	False	((1.1666666666666667, -0.1692307692307693), array([0.4777972, 0.918555 ]))	False
WIF1	ENHA_FOS;PSMC5	0.583850608542152	5.28057112167798e-07	False	((1.1333333333333335, -1.0153846153846156), array([0.84363493, 0.57877096]))	False
WIF1	ENHA_MAX;EPAS1	0.477478266767652	6.532139935434821e-15	False	((1.1, 0.1692307692307693), array([-0.62155871, -0.82195412]))	False
WIF1	ENHA_HSF1;PLK1	0.618178573819767	4.81636374658787e-05	False	((1.1666666666666667, -0.1692307692307693), array([-0.68610964,  0.7318934 ]))	False
WIF1	ENHA_ATF4;FBXW11	0.626895810817631	9.86451598860183e-05	False	((1.1, -1.1), array([ 0.97760519, -0.18803207]))	False
WIF1	ENHA_MAX;FBXW11	0.55582790347122	9.24332685189956e-09	False	((1.1, 0.1692307692307693), array([ 0.97760519, -0.18803207]))	False
WIF1	ENHA_MAX;KDM5C	0.515687754348423	2.30556931644467e-07	False	((1.1, 0.1692307692307693), array([ 0.73992048, -0.53853771]))	False
WIF1	ENHA_HOXA7;NPM1	0.686121503188432	0.0333889900252531	False	((1.1333333333333335, -0.25384615384615383), array([-0.93041034,  0.39432541]))	False
WIF1	ENHA_GATA2;PSMA3	0.471654721165562	1.8900157918023197e-11	False	((1.1666666666666667, -0.676923076923077), array([-0.40435276,  0.86787436]))	False
WIF1	CEBPB;ENHA_HSF1	0.483172918074279	2.24058421289136e-12	False	(array([-0.93993589, -0.17205336]), (1.1666666666666667, -0.1692307692307693))	False
WIF1	ENHA_FOS;NFATC1	0.519589521462273	3.1761892235700203e-09	False	((1.1333333333333335, -1.0153846153846156), array([ 0.91678651, -0.39273112]))	True
