Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
XXYLT1-AS1	ENHA_TGIF1;MED31	1.05364408630256	0.85219830109476	False	((1.1666666666666667, 0.7828828828828831), array([-0.96146281, -0.29455353]))	False
XXYLT1-AS1	ENHA_GLI3;MED12	2.11542872589492	3.06401089543781e-12	False	((1.1666666666666667, -0.6441441441441442), array([-0.84427696, -0.42613366]))	False
XXYLT1-AS1	ENHA_VDR;MED12	2.15800667836626	2.47728532621299e-11	False	((1.1666666666666667, 0.8423423423423424), array([-0.84427696, -0.42613366]))	False
XXYLT1-AS1	ENHA_ZNF24;RBM48	0.838527396893998	0.747009594296888	False	((1.1333333333333335, 1.0603603603603604), array([-0.61375621,  0.77413229]))	False
XXYLT1-AS1	ENHA_JUN;NFE2L1	1.57908630398814	0.135748197635383	False	((1.1666666666666667, -0.5252252252252253), array([-0.77779289,  0.35776205]))	False
XXYLT1-AS1	ENHA_LEF1;MYB	2.3971296909745	0.0021054946156909	False	((1.1333333333333335, -0.3072072072072072), array([0.47765453, 0.89781336]))	False
XXYLT1-AS1	ENHA_JUN;RUNX2	2.28080729142622	5.45252820143715e-08	False	((1.1666666666666667, -0.5252252252252253), array([-0.78449757,  0.46654371]))	False
XXYLT1-AS1	CGGBP1;ENHA_RBPJ	1.02021759670808	0.896024352329704	False	(array([0.7449398 , 0.68944548]), (1.1333333333333335, 0.28738738738738756))	False
XXYLT1-AS1	EIF3A;ENHA_JUN	2.37072568398733	2.82664922977884e-05	False	(array([-0.69596967,  0.71058254]), (1.1666666666666667, -0.5252252252252253))	False
XXYLT1-AS1	ENHA_EGR1;FOSL2	2.56150610579543	2.24918103324254e-17	False	((1.1666666666666667, -0.9414414414414415), array([ 0.98824731, -0.00969281]))	False
XXYLT1-AS1	ENHA_JUN;FOSL2	3.8829412653364	6.217030322542559e-43	False	((1.1666666666666667, -0.5252252252252253), array([ 0.98824731, -0.00969281]))	False
XXYLT1-AS1	ENHA_JUN;RBM39	2.28993987428709	8.34457219126691e-07	False	((1.1666666666666667, -0.5252252252252253), array([ 0.59752634, -0.70423306]))	False
XXYLT1-AS1	ENHA_MZF1;SCAND1	2.62761558538937	8.15117459702812e-14	False	((1.1666666666666667, -0.109009009009009), array([-0.933958  ,  0.37376114]))	False
XXYLT1-AS1	ENHA_ZNF24;SCAND1	1.9478949113538	9.96943775931886e-07	False	((1.1333333333333335, 1.0603603603603604), array([-0.933958  ,  0.37376114]))	False
XXYLT1-AS1	PROM_ZNF449;SCAND1	2.11900479194592	1.97551371271126e-10	False	((-1.1666666666666667, 1.0435897435897439), array([-0.933958  ,  0.37376114]))	False
XXYLT1-AS1	CREB3;ENHA_JUN	5.98353878909758	1.43439256524414e-10	False	(array([-0.59679321,  0.73823455]), (1.1666666666666667, -0.5252252252252253))	False
XXYLT1-AS1	CREB3;PROM_CREB3L4	5.77525557964939	4.91350759104586e-10	False	(array([-0.59679321,  0.73823455]), (-1.1, -1.1))	False
XXYLT1-AS1	ENHA_RBPJ;KDM2A	1.34441357638057	0.0750060555570709	False	((1.1333333333333335, 0.28738738738738756), array([ 0.89396282, -0.41953262]))	False
XXYLT1-AS1	ENHA_JUN;MAPK10	2.34039541445505	2.3444040240919e-07	False	((1.1666666666666667, -0.5252252252252253), array([-0.52474363, -0.81760856]))	False
XXYLT1-AS1	DHX9;ENHA_JUN	1.46370906618298	0.163555997413619	False	(array([-0.96555794,  0.2466304 ]), (1.1666666666666667, -0.5252252252252253))	False
XXYLT1-AS1	ENHA_JUN;MTDH	1.46370906618298	0.163555997413619	False	((1.1666666666666667, -0.5252252252252253), array([-0.77511962, -0.55346493]))	False
XXYLT1-AS1	DDX6;ENHA_ZNF24	2.32064308903004	4.46797935150341e-12	False	(array([-0.09880469, -0.97523617]), (1.1333333333333335, 1.0603603603603604))	False
XXYLT1-AS1	ENHA_RBPJ;OGT	2.67947969544233	2.3209928069916e-22	False	((1.1333333333333335, 0.28738738738738756), array([ 0.13137691, -0.94451901]))	False
XXYLT1-AS1	CEP70;ENHA_ZNF136	3.2734840222114	3.90381469475054e-35	False	(array([0.36304121, 0.83070592]), (1.1333333333333335, 1.0009009009009011))	False
XXYLT1-AS1	CEP70;ENHA_ZNF148	2.55898876176398	5.42214123270464e-12	False	(array([0.36304121, 0.83070592]), (1.1, 1.0405405405405408))	False
XXYLT1-AS1	ENHA_JUN;TRIP4	2.48715407434791	3.44075290631465e-14	False	((1.1666666666666667, -0.5252252252252253), array([-0.97115062,  0.11234732]))	False
XXYLT1-AS1	CCNDBP1;ENHA_ZNF136	2.35494023854608	1.4372826073883802e-10	False	(array([0.80206945, 0.2769405 ]), (1.1333333333333335, 1.0009009009009011))	False
XXYLT1-AS1	ENHA_AR;SFPQ	4.17453196083898	0.0002743804706483	False	((1.1, -1.1), array([ 0.7565081 , -0.67744648]))	False
XXYLT1-AS1	ENHA_GLI3;SMAD1	2.24336649350239	6.60426232254592e-12	False	((1.1666666666666667, -0.6441441441441442), array([-0.7455016 ,  0.64428486]))	False
XXYLT1-AS1	ENHA_AR;SMAD1	2.55790188964846	1.9672815093819902e-15	False	((1.1, -1.1), array([-0.7455016 ,  0.64428486]))	False
XXYLT1-AS1	ENHA_TFAP2A;YY1	3.16542281562723	5.56507783407453e-41	False	((1.1666666666666667, 0.7234234234234236), array([ 0.95071274, -0.26376363]))	False
XXYLT1-AS1	ENHA_TFAP2A;YY1	3.16542281562723	5.56507783407453e-41	False	((1.1666666666666667, 0.7234234234234236), array([ 0.95071274, -0.26376363]))	False
XXYLT1-AS1	ENHA_NR2C2;S100A4	1.49438876599246	0.0232648005409818	False	((1.1333333333333335, 0.04954954954954949), array([0.92166009, 0.30385747]))	False
XXYLT1-AS1	CCND1;ENHA_AR	2.92861296577626	4.92331998390317e-29	False	(array([ 0.80242989, -0.4736552 ]), (1.1, -1.1))	False
XXYLT1-AS1	BRD4;ENHA_AR	1.02828216061337	0.902851363901245	False	(array([-0.41103874,  0.89003508]), (1.1, -1.1))	False
XXYLT1-AS1	ENHA_AR;ZBTB7A	0.781932293554561	0.491100027707515	False	((1.1, -1.1), array([-0.06945912,  0.98437722]))	False
XXYLT1-AS1	ENHA_AR;UXT	0.855599939173126	0.688921282203597	False	((1.1, -1.1), array([0.63982049, 0.63329314]))	False
XXYLT1-AS1	ENHA_NR3C2;TRIM24	2.44930690741457	7.602402732778679e-11	False	((1.1666666666666667, 0.12882882882882885), array([-0.24432913,  0.81319946]))	False
XXYLT1-AS1	ENHA_AR;TRIM24	2.2741075009946	2.63803539103225e-13	False	((1.1, -1.1), array([-0.24432913,  0.81319946]))	False
XXYLT1-AS1	ENHA_TCF4;TRIM24	2.03592535625302	4.33080926974799e-07	False	((1.1333333333333335, 0.6441441441441442), array([-0.24432913,  0.81319946]))	False
XXYLT1-AS1	ELF3;ENHA_AR	1.77460875790181	1.54022576315045e-05	False	(array([0.96187109, 0.14737624]), (1.1, -1.1))	False
XXYLT1-AS1	ENHA_KLF6;LCOR	2.9154411525938	2.07669027031834e-20	False	((1.1666666666666667, -0.34684684684684686), array([-0.88109198, -0.07747212]))	False
XXYLT1-AS1	ENHA_RBPJ;LCOR	3.57874820097526	3.38162276256423e-39	False	((1.1333333333333335, 0.28738738738738756), array([-0.88109198, -0.07747212]))	False
XXYLT1-AS1	ENHA_AR;LCOR	3.27148227489389	1.6235640079031999e-31	False	((1.1, -1.1), array([-0.88109198, -0.07747212]))	False
XXYLT1-AS1	EED;ENHA_NR2C2	3.81759933637385	3.33024262309523e-54	False	(array([ 0.91798249, -0.32000909]), (1.1333333333333335, 0.04954954954954949))	False
XXYLT1-AS1	EED;ENHA_TFAP2A	3.47034811706577	6.08919081159769e-48	False	(array([ 0.91798249, -0.32000909]), (1.1666666666666667, 0.7234234234234236))	False
XXYLT1-AS1	EED;ENHA_AR	3.10248586129617	3.8814147237847694e-36	False	(array([ 0.91798249, -0.32000909]), (1.1, -1.1))	False
XXYLT1-AS1	ENHA_RUNX2;SOX9	2.36279706219525	4.75428800863594e-05	False	((1.1, 0.38648648648648654), array([-0.85091484,  0.5968602 ]))	False
XXYLT1-AS1	ACTB;ENHA_ESR2	1.29427517147697	0.204282678674008	False	(array([0.270687  , 0.97028918]), (1.1666666666666667, -0.8819819819819821))	True
XXYLT1-AS1	ACTB;ENHA_ESR2	1.29427517147697	0.204282678674008	False	(array([0.270687  , 0.97028918]), (1.1666666666666667, -0.8819819819819821))	True
XXYLT1-AS1	ENHA_IRF1;MYD88	1.19276926556592	0.237080966155942	False	((1.1, -0.5648648648648649), array([-0.86215363,  0.49434431]))	False
XXYLT1-AS1	ENHA_LEF1;SMAD7	2.62467311015465	1.00458797290829e-09	False	((1.1333333333333335, -0.3072072072072072), array([0.42775489, 0.89951086]))	False
XXYLT1-AS1	ENHA_ZEB1;SMAD7	1.80620486369895	0.0015179647016284	False	((1.1, 0.981081081081081), array([0.42775489, 0.89951086]))	False
XXYLT1-AS1	ENHA_JUN;TRIM33	3.10642695320096	4.0900603704209703e-19	False	((1.1666666666666667, -0.5252252252252253), array([-0.73950791, -0.74813107]))	False
XXYLT1-AS1	ENHA_TCF4;TRIM33	2.03188830770309	9.950697185685451e-09	False	((1.1333333333333335, 0.6441441441441442), array([-0.73950791, -0.74813107]))	False
XXYLT1-AS1	ENHA_TCF4;TRIM33	2.03188830770309	9.950697185685451e-09	False	((1.1333333333333335, 0.6441441441441442), array([-0.73950791, -0.74813107]))	False
XXYLT1-AS1	ENHA_NFYB;GRB2	2.4317212078549	6.24200579816635e-14	False	((1.1666666666666667, 0.00990990990991003), array([0.95496701, 0.05453353]))	False
XXYLT1-AS1	ENHA_ZBTB7B;GRB2	2.521940834526	1.4460314927372399e-11	False	((1.1333333333333335, 0.9414414414414414), array([0.95496701, 0.05453353]))	False
XXYLT1-AS1	AES;ENHA_AR	2.42180276904449	1.38991068358338e-16	False	(array([-0.87514548, -0.42404065]), (1.1, -1.1))	False
XXYLT1-AS1	AES;ENHA_TCF4	2.41688973256165	2.98206871168364e-22	False	(array([-0.87514548, -0.42404065]), (1.1333333333333335, 0.6441441441441442))	False
XXYLT1-AS1	AES;ENHA_TCF4	2.41688973256165	2.98206871168364e-22	False	(array([-0.87514548, -0.42404065]), (1.1333333333333335, 0.6441441441441442))	False
XXYLT1-AS1	ENHA_TCF4;POLR1A	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([0.1475926 , 0.97920177]))	False
XXYLT1-AS1	ENHA_TCF4;POLR1A	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([0.1475926 , 0.97920177]))	False
XXYLT1-AS1	ENHA_TCF4;ZNF688	2.01635622568807	1.39427992326313e-06	False	((1.1333333333333335, 0.6441441441441442), array([ 0.10436946, -0.98878255]))	False
XXYLT1-AS1	ENHA_TCF4;ZNF688	2.01635622568807	1.39427992326313e-06	False	((1.1333333333333335, 0.6441441441441442), array([ 0.10436946, -0.98878255]))	False
XXYLT1-AS1	ENHA_TCF4;HAT1	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([ 0.73161255, -0.63702422]))	False
XXYLT1-AS1	ENHA_TCF4;HAT1	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([ 0.73161255, -0.63702422]))	False
XXYLT1-AS1	ENHA_TCF4;MAGOHB	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([ 0.86432874, -0.38283603]))	False
XXYLT1-AS1	ENHA_TCF4;MAGOHB	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([ 0.86432874, -0.38283603]))	False
XXYLT1-AS1	ENHA_TCF4;MRPL10	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([0.82833936, 0.5242556 ]))	False
XXYLT1-AS1	ENHA_TCF4;MRPL10	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([0.82833936, 0.5242556 ]))	False
XXYLT1-AS1	ENHA_AR;RNF6	2.64104444982731	2.69151270560795e-16	False	((1.1, -1.1), array([ 0.08868291, -0.95146045]))	False
XXYLT1-AS1	ENHA_TCF4;RNF6	2.08922530268765	2.6979623099304e-09	False	((1.1333333333333335, 0.6441441441441442), array([ 0.08868291, -0.95146045]))	False
XXYLT1-AS1	ENHA_TCF4;RNF6	2.08922530268765	2.6979623099304e-09	False	((1.1333333333333335, 0.6441441441441442), array([ 0.08868291, -0.95146045]))	False
XXYLT1-AS1	ENHA_TCF4;MAD2L2	2.2546600717899	1.13353470551738e-16	False	((1.1333333333333335, 0.6441441441441442), array([-0.81914601, -0.60814687]))	False
XXYLT1-AS1	ENHA_TCF4;MAD2L2	2.2546600717899	1.13353470551738e-16	False	((1.1333333333333335, 0.6441441441441442), array([-0.81914601, -0.60814687]))	False
XXYLT1-AS1	ENHA_TCF4;NOL9	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([-0.76178923, -0.6892584 ]))	False
XXYLT1-AS1	ENHA_TCF4;NOL9	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([-0.76178923, -0.6892584 ]))	False
XXYLT1-AS1	ENHA_TCF4;EXOSC1	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([-0.84908248,  0.4060441 ]))	False
XXYLT1-AS1	ENHA_TCF4;EXOSC1	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([-0.84908248,  0.4060441 ]))	False
XXYLT1-AS1	ENHA_TCF4;PTGER3	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([ 0.05668847, -0.99409158]))	False
XXYLT1-AS1	ENHA_TCF4;PTGER3	2.02926434611153	5.29888274419811e-06	False	((1.1333333333333335, 0.6441441441441442), array([ 0.05668847, -0.99409158]))	False
XXYLT1-AS1	C1orf109;ENHA_TCF4	2.1395452547368	2.17300809188519e-07	False	(array([-0.6649029 ,  0.79493258]), (1.1333333333333335, 0.6441441441441442))	False
XXYLT1-AS1	C1orf109;ENHA_TCF4	2.1395452547368	2.17300809188519e-07	False	(array([-0.6649029 ,  0.79493258]), (1.1333333333333335, 0.6441441441441442))	False
XXYLT1-AS1	ENHA_NR2C2;NR2C2AP	3.07141662795475	1.76792388842221e-29	False	((1.1333333333333335, 0.04954954954954949), array([ 0.16381925, -0.91379194]))	False
XXYLT1-AS1	ENHA_TCF4;NR2C2AP	2.61877491967072	3.92237558545048e-26	False	((1.1333333333333335, 0.6441441441441442), array([ 0.16381925, -0.91379194]))	False
XXYLT1-AS1	ENHA_TCF4;NR2C2AP	2.61877491967072	3.92237558545048e-26	False	((1.1333333333333335, 0.6441441441441442), array([ 0.16381925, -0.91379194]))	False
XXYLT1-AS1	ENHA_TCF4;TXNL4B	2.29387799486191	1.83818271393895e-12	False	((1.1333333333333335, 0.6441441441441442), array([-0.78545638,  0.52008851]))	False
XXYLT1-AS1	ENHA_TCF4;TXNL4B	2.29387799486191	1.83818271393895e-12	False	((1.1333333333333335, 0.6441441441441442), array([-0.78545638,  0.52008851]))	False
XXYLT1-AS1	CHCHD2;ENHA_TCF4	2.02926434611153	5.29888274419811e-06	False	(array([-0.92471314,  0.10748183]), (1.1333333333333335, 0.6441441441441442))	False
XXYLT1-AS1	CHCHD2;ENHA_TCF4	2.02926434611153	5.29888274419811e-06	False	(array([-0.92471314,  0.10748183]), (1.1333333333333335, 0.6441441441441442))	False
XXYLT1-AS1	CDC5L;ENHA_ZBTB7C	1.86238249532001	0.0011536344717777	False	(array([0.88799525, 0.51676175]), (1.1666666666666667, 0.9612612612612614))	False
XXYLT1-AS1	ARL6IP4;ENHA_FOS	1.67215935059409	0.0042495419072897	False	(array([0.3508111 , 0.88183298]), (1.1666666666666667, -0.8225225225225226))	False
XXYLT1-AS1	ENHA_TCF4;TCEA2	2.39851902765283	2.6543168763997102e-14	False	((1.1333333333333335, 0.6441441441441442), array([-0.97071296, -0.02725043]))	False
XXYLT1-AS1	ENHA_TCF4;TCEA2	2.39851902765283	2.6543168763997102e-14	False	((1.1333333333333335, 0.6441441441441442), array([-0.97071296, -0.02725043]))	False
XXYLT1-AS1	ENHA_ZBTB7C;SREBF1	2.91331890861735	9.76268536646997e-27	False	((1.1666666666666667, 0.9612612612612614), array([0.10948617, 0.80130757]))	False
XXYLT1-AS1	ENHA_SP1;SREBF1	2.88552230781881	1.2837371479791199e-30	False	((1.1, 0.5054054054054056), array([0.10948617, 0.80130757]))	False
XXYLT1-AS1	ENHA_KLF10;SIAH1	5.33910548446863	4.4427745516755696e-83	False	((1.1333333333333335, -0.4855855855855856), array([0.11892504, 0.90793242]))	False
XXYLT1-AS1	ENHA_ZNF148;SIAH1	5.63666019255817	2.7639381358055204e-85	False	((1.1, 1.0405405405405408), array([0.11892504, 0.90793242]))	False
XXYLT1-AS1	ENHA_KLF10;SIAH1	5.33910548446863	4.4427745516755696e-83	False	((1.1333333333333335, -0.4855855855855856), array([0.11892504, 0.90793242]))	False
XXYLT1-AS1	ENHA_ZNF148;SIAH1	5.63666019255817	2.7639381358055204e-85	False	((1.1, 1.0405405405405408), array([0.11892504, 0.90793242]))	False
XXYLT1-AS1	AQP1;ENHA_FOS	2.38511909677008	1.88785672919555e-12	False	(array([ 0.46305959, -0.80005272]), (1.1666666666666667, -0.8225225225225226))	False
XXYLT1-AS1	AQP1;ENHA_TCF4	2.33553442822465	3.68062314485046e-09	False	(array([ 0.46305959, -0.80005272]), (1.1333333333333335, 0.6441441441441442))	False
