promoter	protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
ZCCHC24	ENHA_ZNF460	True	False	False	1.1	1.0352941176470591	1	1.21538597859962	5.59628789323162e-05	False											1.65312283717798	2.70282442138197e-06
ZCCHC24	ENHA_BACH1	True	False	False	1.1333333333333335	-1.035294117647059	1	-1.45059197892293	2.8452302312222497e-33	False											0.42915472693932	7.034353714128889e-11
ZCCHC24	ENHA_NFIA	True	False	False	1.1333333333333335	-0.06470588235294117	1	0.998049400634477	1.5762301134787202e-19	False											0.343135977932338	3.2951077693734396e-11
ZCCHC24	ENHA_PLAG1	True	False	False	1.1666666666666667	0.1941176470588235	2	-6.54340952873669	2.50212753156315e-17	False											0.29534086074370147	4.7606524560473605e-15
ZCCHC24	ENHA_CREB1	True	False	False	1.1666666666666667	-0.9705882352941178	22	-0.600232504411478	4.5967343029176706e-09	False											0.3086947230863655	1.7191612705655915e-19
ZCCHC24	ENHA_ESR2	True	False	False	1.1333333333333335	-0.6470588235294118	2	3.10191642117498	0.0302281855584287	False											0.293017391643958	6.2753302213143695e-21
ZCCHC24	ENHA_KLF4	True	False	False	1.1	-0.32352941176470584	8	-4.0236383329462	1.2985292682091302e-211	False											0.9920815366857101	0.4094611620203445
ZCCHC24	ENHA_AR	True	False	False	1.1	-1.1	31	0.367597826345658	8.286257086481861e-10	False											0.264667789516216	7.82681267887753e-19
ZCCHC24	ENHA_SP3	True	False	False	1.1666666666666667	0.7764705882352942	2	-0.775224946273101	3.1953368976117602e-21	False											1.163349126723561	0.0328681714363993
ZCCHC24	ENHA_FOXA1	True	False	False	1.1	-0.5176470588235295	4	5.7014164002563	0.0	False											0.409945844514568	4.997684135379585e-15
ZCCHC24	ENHA_REL	True	False	False	1.1333333333333335	0.32352941176470584	17	-2.46080604113086	7.93735410976565e-55	False											0.27975846754242	1.50899019562847e-08
ZCCHC24	ENHA_NFATC4	True	False	False	1.1	-0.12941176470588234	8	-0.710503498140033	0.0854050478704199	False											0.280085584964322	1.0030991377548076e-11
ZCCHC24	ENHA_MAZ	True	False	False	1.1666666666666667	-0.1941176470588235	4	1.17636897308062	2.95636464524114e-88	False											0.5748004021997535	6.534605886779811e-05
ZCCHC24	ENHA_SOX13	True	False	False	1.1666666666666667	0.5823529411764707	1	-0.553019887296331	0.0002820815064001	False											0.263221105402599	2.3190084199333204e-09
ZCCHC24	ENHA_NFKB2	True	False	False	1.1333333333333335	0.12941176470588234	9	-1.71781633176476	4.4824481230612196e-57	False											0.379766508513022	9.33655484567695e-15
ZCCHC24	ENHA_RELA	True	False	False	1.1666666666666667	0.388235294117647	39	-0.0830794465946176	0.417800025186821	False											0.254131463454887	6.48622727871636e-13
ZCCHC24	ENHA_JUND	True	False	False	1.1666666666666667	-0.3882352941176471	9	1.49686913023121	2.5156694931318598e-49	False											0.233963284139439	1.32250977267871e-21
