Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ZFHX2	CDK4;ENHA_CEBPA	0.417830671126074	2.0742870395279397e-11	False	(array([-0.34390341,  0.82553755]), (1.1, -0.9263157894736843))	False
ZFHX2	ENHA_TP53;TRRAP	0.67559785411027	0.0003314129027536	False	((1.1666666666666667, 0.9263157894736844), array([-0.81010134, -0.46592588]))	False
ZFHX2	ENHA_TP53;VHL	0.532779002070206	5.36719166765726e-10	False	((1.1666666666666667, 0.9263157894736844), array([-0.62032419, -0.51650346]))	False
ZFHX2	ENHA_TP53;HUWE1	0.53941160465408	1.28330468977675e-09	False	((1.1666666666666667, 0.9263157894736844), array([-0.63159391,  0.30674865]))	False
ZFHX2	ENHA_TP53;PSMD11	0.768224093616817	0.116616429555215	False	((1.1666666666666667, 0.9263157894736844), array([-0.49349993,  0.84992381]))	False
ZFHX2	CEBPG;ENHA_ATF4	0.344087369946448	4.6805051346117906e-15	False	(array([-0.95846766,  0.23122084]), (1.1, -1.1))	False
ZFHX2	ENHA_TP53;UBA52	0.547996533325803	8.04168867591954e-10	False	((1.1666666666666667, 0.9263157894736844), array([-0.73574264, -0.64958564]))	False
ZFHX2	ENHA_TP53;ZBTB17	0.473204997941312	9.19674209375353e-13	False	((1.1666666666666667, 0.9263157894736844), array([0.45863616, 0.91346216]))	False
ZFHX2	ENHA_TP53;RBPJ	1.2607675041861	0.0786023126971483	False	((1.1666666666666667, 0.9263157894736844), array([-0.74722963,  0.5143149 ]))	False
ZFHX2	ENHA_TP53;FOXK2	0.795726454158749	0.0220089994082325	False	((1.1666666666666667, 0.9263157894736844), array([0.82763535, 0.597638  ]))	False
ZFHX2	ENHA_CEBPD;XPO1	0.573059978238961	3.43647146776361e-05	False	((1.1333333333333335, -0.868421052631579), array([-0.62158898,  0.76491447]))	False
ZFHX2	ENHA_TP53;PIAS4	1.29335050275934	0.17776546041572	False	((1.1666666666666667, 0.9263157894736844), array([-0.90879406, -0.29815853]))	False
ZFHX2	ENHA_MEF2D;SENP3	1.06506268765258	0.675089925256701	False	((1.1333333333333335, 0.0), array([ 0.61690973, -0.70339957]))	False
ZFHX2	ENHA_TP53;SENP3	2.06991225069869	0.001464769634893	False	((1.1666666666666667, 0.9263157894736844), array([ 0.61690973, -0.70339957]))	False
ZFHX2	ENHA_CEBPD;UBR5	1.46760155263163	0.187435487074667	False	((1.1333333333333335, -0.868421052631579), array([0.50148046, 0.78383568]))	False
ZFHX2	ENHA_TP53;UBR5	2.72571728418151	0.0028576172272902	False	((1.1666666666666667, 0.9263157894736844), array([0.50148046, 0.78383568]))	False
ZFHX2	ENHA_HSF2;RBBP6	0.800224715165331	0.47686011669617	False	((1.1666666666666667, -0.2894736842105263), array([0.96486963, 0.35529877]))	False
ZFHX2	ENHA_TP53;RBBP6	0.831399498867822	0.723930894420839	False	((1.1666666666666667, 0.9263157894736844), array([0.96486963, 0.35529877]))	False
ZFHX2	CDKN1A;ENHA_CEBPA	0.562874598947785	5.55176415599283e-05	False	(array([-0.43800156,  0.83028969]), (1.1, -0.9263157894736843))	False
ZFHX2	CDKN1A;ENHA_TP53	1.48049952633907	0.0400180044726544	False	(array([-0.43800156,  0.83028969]), (1.1666666666666667, 0.9263157894736844))	False
ZFHX2	CDK2;ENHA_CEBPA	0.458827112554574	1.67212559224287e-12	False	(array([-0.93134401, -0.17948863]), (1.1, -0.9263157894736843))	False
ZFHX2	CDK2;ENHA_TP53	0.627314819735879	1.90305604285354e-06	False	(array([-0.93134401, -0.17948863]), (1.1666666666666667, 0.9263157894736844))	False
ZFHX2	ENHA_CEBPA;UBE3A	1.13321836395802	0.484889454604571	False	((1.1, -0.9263157894736843), array([ 0.79649207, -0.59760982]))	False
ZFHX2	ENHA_TP53;UBE3A	1.29539943847997	0.128445169959201	False	((1.1666666666666667, 0.9263157894736844), array([ 0.79649207, -0.59760982]))	False
ZFHX2	ENHA_ATF4;GPS2	0.850178190191901	0.68126013623059	False	((1.1, -1.1), array([-0.2742612 , -0.93161576]))	False
ZFHX2	ENHA_TP53;GPS2	0.761076706951296	0.605798405670473	False	((1.1666666666666667, 0.9263157894736844), array([-0.2742612 , -0.93161576]))	False
