Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ZNF277	CTBP2;ENHA_ZEB1	0.40897378500891	2.35512990161083e-24	False	(array([-0.39037007,  0.51713482]), (1.1, 0.9166666666666665))	False
ZNF277	ENHA_TCF4;PRKAA2	0.38801190349249	8.515664922473219e-33	False	((1.1666666666666667, 0.6722222222222223), array([-0.55675452, -0.62555592]))	False
ZNF277	COMMD1;ENHA_NFKB2	0.413250292365396	1.2500334170153801e-23	False	(array([-0.68959794, -0.42946855]), (1.1333333333333335, -0.12222222222222223))	False
ZNF277	COMMD1;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.68959794, -0.42946855]), (1.1, -0.18333333333333335))	False
ZNF277	COMMD8;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.98504525,  0.19832851]), (1.1, -0.18333333333333335))	False
ZNF277	COMMD4;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.84991141,  0.12156286]), (1.1, -0.18333333333333335))	False
ZNF277	COMMD6;ENHA_NFKB1	0.53489718935177	1.6486771087038502e-15	False	(array([-0.77620328, -0.62880539]), (1.1, -0.18333333333333335))	False
ZNF277	BIRC2;ENHA_NFKB2	0.429201461850287	8.62266776430656e-15	False	(array([0.47647169, 0.90559969]), (1.1333333333333335, -0.12222222222222223))	False
ZNF277	ENHA_SNAI1;RING1	0.336397399282695	4.978136467059429e-34	False	((1.1666666666666667, 0.48888888888888893), array([0.75083829, 0.67020869]))	False
ZNF277	ENHA_CENPB;PHF8	0.403979357822899	0.001193454997483	False	((1.1333333333333335, -1.038888888888889), array([-0.77225015,  0.62595194]))	False
ZNF277	ENHA_THAP11;PHF8	0.372027302711418	1.1324990316996301e-19	False	((1.1333333333333335, 0.7944444444444445), array([-0.77225015,  0.62595194]))	False
ZNF277	ATM;ENHA_ZEB1	0.460662489031834	5.86109382553207e-13	False	(array([ 0.94187352, -0.27273439]), (1.1, 0.9166666666666665))	False
ZNF277	ATM;ENHA_NR4A1	0.461453862898256	6.01568940524007e-08	False	(array([ 0.94187352, -0.27273439]), (1.1, 0.0))	False
ZNF277	CDK2;ENHA_THAP11	0.379989557532032	2.46059515596656e-27	False	(array([0.20522055, 0.23794957]), (1.1333333333333335, 0.7944444444444445))	False
ZNF277	ENHA_CTCF;KDM5B	0.362964307593655	1.8689964909854502e-25	False	((1.1666666666666667, -0.9777777777777779), array([0.96648718, 0.31435555]))	False
ZNF277	ENHA_THAP11;SRSF11	0.485296133199484	0.0030755524345094	False	((1.1333333333333335, 0.7944444444444445), array([-0.63005984,  0.70944214]))	False
ZNF277	ENHA_ETV1;PRKDC	0.448156487994241	2.31916009870553e-13	False	((1.1, -0.9166666666666667), array([ 0.86295839, -0.49340901]))	False
