Gene	edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ZXDC	BCL6;ENHA_YY1	0.405678264883005	9.60427506182171e-16	False	(array([-0.44282565,  0.79613265]), (1.1666666666666667, 1.0388888888888892))	False
ZXDC	ENHA_NFKB1;NFKBIB	0.495592547893804	3.38203501597082e-16	False	((1.1, 0.3666666666666667), array([-0.77521281, -0.55168108]))	False
ZXDC	BCL6;PROM_ZBTB7A	0.472975662118419	1.02214151141907e-15	False	(array([-0.44282565,  0.79613265]), (-1.1666666666666667, 1.0333333333333332))	False
ZXDC	NFKBIB;PROM_ZBTB7A	0.584588255492434	3.87455956951819e-10	False	(array([-0.77521281, -0.55168108]), (-1.1666666666666667, 1.0333333333333332))	False
ZXDC	CDKN2A;ENHA_YY1	0.430895725032753	9.93967726046976e-19	False	(array([-0.57084534,  0.70548082]), (1.1666666666666667, 1.0388888888888892))	False
ZXDC	CTNNB1;ENHA_NFKB1	0.441751227871672	3.73649464306506e-25	False	(array([-0.57931723,  0.82198469]), (1.1, 0.3666666666666667))	False
ZXDC	CTNNB1;ENHA_PPARG	0.283504367531912	1.63359855571624e-30	False	(array([-0.57931723,  0.82198469]), (1.1, 0.55))	False
ZXDC	CTNNB1;ENHA_TCF4	0.333521006887135	3.57429689694692e-44	False	(array([-0.57931723,  0.82198469]), (1.1, 0.9166666666666665))	False
ZXDC	ENHA_TP73;YAP1	0.347729637847906	3.5114383529489297e-22	False	((1.1333333333333335, 0.9777777777777779), array([0.46134439, 0.92158921]))	False
ZXDC	CDKN2A;PROM_EGR1	0.462939018946131	3.41042103025145e-17	False	(array([-0.57084534,  0.70548082]), (-1.1333333333333335, -0.6333333333333334))	False
ZXDC	CTNNB1;PROM_EGR1	1.10142539055265	0.295892055456255	False	(array([-0.57931723,  0.82198469]), (-1.1333333333333335, -0.6333333333333334))	False
ZXDC	PROM_EGR1;YAP1	0.425823133557278	1.50147238925708e-27	False	((-1.1333333333333335, -0.6333333333333334), array([0.46134439, 0.92158921]))	False
ZXDC	ENHA_NFIB;NFIC	0.413221331940216	3.58945648531768e-15	False	((1.1333333333333335, 0.24444444444444446), array([-0.63006511, -0.83576359]))	False
ZXDC	ENHA_NFIB;NFIX	0.357476096701354	7.08429374603721e-21	False	((1.1333333333333335, 0.24444444444444446), array([-0.71959693,  0.71434106]))	False
ZXDC	ENHA_NFIB;NFIA	0.374193580392098	1.2195649946984202e-15	False	((1.1333333333333335, 0.24444444444444446), array([-0.96656395, -0.13881749]))	False
